,start,end,id,text,tag_type_id,tag_type,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,Belegung,Geschlecht__Beschuldigter_,Art,Geschlecht_Beschuldigter,Anzahl__Beschuldigte_,Rolle__Beschuldigte_,ID__Beschuldigte_,Geschlecht__Betroffene_,Alter__Betroffene_,Anzahl__Betroffene_,ID__Betroffene_,Bestimmung_Umfeld
0,0,267,no_annotation_0,"#######################

Seite 15

15 1. Einleitung Zu beachten ist dabei, dass Missbrauchsfälle oft erst Jahrzehnte später gemeldet  werden. Es ist deshalb möglich, dass ein beträchtlicher Teil der Fälle nach der  Jahrtausendwende bislang noch nicht gemeldet wurden.",,,,,,,,,,,,,,,,,
1,267,268,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
2,268,277,S-1,Insgesamt,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,Start,Mhuerten,2025-07-10T14:58:58.580+0200,-399266,,,,,,,,,,,,
3,268,277,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Insgesamt,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
4,277,373,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, wurden 510 Beschuldigte und 921 Betroffene identifiziert. 149 be­ schuldigten Personen konnten ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
5,373,482,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,"zwei oder mehr Betroffene zugeordnet werden,  während bei 361 Beschuldigten der sexuelle Missbrauch an einer ",CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
6,482,552,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Person nach­ weisbar war. In 39 % der Fälle war die betroffene Person ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
7,552,563,CATMA_98E56C9E-AF92-438B-A3E5-873302210395,weiblichen ,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,weiblich,Mhuerten,2025-07-15T15:42:06.964+0200,-13288961,,,,,,,,,,,,
8,552,563,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,weiblichen ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
9,563,595,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,"Geschlechts,  in knapp 56 % der ",CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
10,595,601,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Fälle ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
11,601,610,CATMA_69A9C461-941E-4BBC-9286-C9E288DCF99D,männlich ,CATMA_491C1421-1813-476C-80A9-E461CCA24A21,männlich,Mhuerten,2025-07-15T15:43:30.491+0200,-9889053,,,,,,,,,,,,
12,601,610,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,männlich ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
13,610,703,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,und in 5 % der Fälle war das Geschlecht auf­ grund der Quellen nicht eindeutig feststellbar. ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
14,703,707,CATMA_A8BAA575-9C24-4FBA-89BB-2225CEB02F04,Die ,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,Kleriker,Mhuerten,2025-07-15T15:51:55.505+0200,-7143428,,,,,,,,,,,,
15,703,707,CATMA_545F82E9-95CE-479D-8D34-4F4534691D02,Die ,CATMA_82A44BD7-8701-4E4B-8245-FEB4B4A8FA46,Nicht-Kleriker,Mhuerten,2025-07-15T15:52:07.925+0200,-13459949,,gemischt,,,,,,,,,,
16,703,707,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Die ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
17,707,759,CATMA_A8BAA575-9C24-4FBA-89BB-2225CEB02F04,Beschuldigten waren bis auf  wenige Ausnahmen Männer,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,Kleriker,Mhuerten,2025-07-15T15:51:55.505+0200,-7143428,,,,,,,,,,,,
18,707,759,CATMA_545F82E9-95CE-479D-8D34-4F4534691D02,Beschuldigten waren bis auf  wenige Ausnahmen Männer,CATMA_82A44BD7-8701-4E4B-8245-FEB4B4A8FA46,Nicht-Kleriker,Mhuerten,2025-07-15T15:52:07.925+0200,-13459949,,gemischt,,,,,,,,,,
19,707,759,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Beschuldigten waren bis auf  wenige Ausnahmen Männer,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
20,759,820,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,".6 Von den Akten, die während des Pilotprojektes  ausgewertet",CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
21,820,845,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C," wurden, zeugten 74 % von",CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
22,845,846,CATMA_2C55A6A0-48D6-4AA0-9A29-61F4CC8F78FF, ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T15:53:28.714+0200,-13239067,,,,,,,,,,,,
23,845,846,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
24,846,866,CATMA_2C55A6A0-48D6-4AA0-9A29-61F4CC8F78FF,sexuellem Missbrauch,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T15:53:28.714+0200,-13239067,,,,,,,,,,,,
25,846,866,CATMA_FCEFBDAA-8F32-4C5A-B28B-0BAA0C687516,sexuellem Missbrauch,CATMA_B03D4763-9E0C-4E2D-9ACA-DD358DA82669,nicht spezifizierte Taten,Mhuerten,2025-07-15T15:53:06.352+0200,-13101205,Macht- und Abhängigkeitsverhältnis,,,,,,,,,,,
26,846,866,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,sexuellem Missbrauch,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
27,866,867,CATMA_2C55A6A0-48D6-4AA0-9A29-61F4CC8F78FF, ,CATMA_3B3B19B0-7DA0-4893-A328-7CF7A581786E,Missbrauch,Mhuerten,2025-07-15T15:53:28.714+0200,-13239067,,,,,,,,,,,,
28,866,867,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
29,867,870,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,an ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
30,870,886,CATMA_03C4D791-87AA-42C7-BECD-A4944B389A8C,Minderjähri­ gen,CATMA_4AA524EC-865F-4B12-9259-381A9D8B90CA,16-17,Mhuerten,2025-07-15T15:54:08.766+0200,-13717392,,,,,,,,,,,,
31,870,886,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Minderjähri­ gen,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
32,870,886,CATMA_FA6921D7-3693-41D5-A30F-E8AC3792E94B,Minderjähri­ gen,CATMA_390DF58B-FDF8-48FC-94C0-13FB6DA3439A,14-15,Mhuerten,2025-07-15T15:53:55.128+0200,-4314639,,,,,,,,,,,,
33,870,886,CATMA_F62CB741-8541-4D3C-9A63-CBBDBE7CBCAF,Minderjähri­ gen,CATMA_70B3E1DF-DA17-41A4-8685-442F3D31BDAE,U14,Mhuerten,2025-07-15T15:53:42.568+0200,-2595222,,,,,,,,,,,,
34,886,931,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,", wobei das gesamte Altersspektrum vertreten ",CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
35,931,954,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,war: von Missbrauch an ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
36,954,984,CATMA_6751FBA5-F2C9-4665-A405-C09CEB70FD16,Säug­ lingen und vorpubertären,CATMA_70B3E1DF-DA17-41A4-8685-442F3D31BDAE,U14,Mhuerten,2025-07-15T15:54:31.893+0200,-2595222,,,,,,,,,,,,
37,954,984,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,Säug­ lingen und vorpubertären,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
38,984,1004,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, Kindern bis hin zu ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
39,1004,1039,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,postpubertären jungen Erwachse­ nen,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
40,1004,1039,CATMA_4FE43503-0338-42C4-B80C-7B9B831F5C35,postpubertären jungen Erwachse­ nen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-07-15T15:54:45.329+0200,-725551,,,,,,,,,,,,
41,1039,1041,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,. ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
42,1041,1070,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,14 % der Missbräuche betrafen,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
43,1070,1090,CATMA_BC6D2542-0EE4-490A-B395-0C535EA779A0, erwachsene Personen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-07-15T15:55:08.263+0200,-725551,,,,,,,,,,,,
44,1070,1090,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, erwachsene Personen,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
45,1090,1144,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, und in 12 % der Fälle  war das Alter nicht eindeutig ,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
46,1144,1204,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C,feststellbar. Mindestens jeder siebte Fall betraf  also eine,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
47,1204,1222,CATMA_F793F845-0456-4538-85ED-860FB983AEB4, erwachsene Person,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,erwachsen,Mhuerten,2025-07-15T15:55:24.978+0200,-725551,,,,,,,,,,,,
48,1204,1222,CATMA_B00B7853-3C63-463F-99CC-4208CE24B51C, erwachsene Person,CATMA_3559CA23-2F8B-4EC2-B0C0-5E20EB44151B,Statistik,Mhuerten,2025-07-15T15:57:44.808+0200,-11700002,,,,,,,,,,,,
49,1222,1452,no_annotation_1,". Dies ist umso bedeutsamer, weil sich viele bishe­ rige Studien zu sexuellem Missbrauch in der katholischen Kirche ausschliess­ lich auf Minderjährige fokussierten und so einen relevanten Teil der Betroffenen  nicht in den Blick ",,,,,,,,,,,,,,,,,
50,1452,1458,,nahmen,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,End,Mhuerten,2025-07-10T14:59:36.195+0200,-9667700,,,,,,,,,,,,
