,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Berührungen,10,0,2,2,1,7,0,1,3,26
Entblößen des eigenen Körpers,0,1,0,0,0,0,0,0,0,1
Penetration,2,0,4,2,0,1,2,2,1,14
Sprache/Gesten/Aufforderungen,2,0,2,9,0,2,0,1,3,19
Verhältnis,1,0,0,0,4,1,1,0,2,9
nicht spezifizierte Taten,7,0,1,2,1,19,0,3,6,39
reproduktiv,0,0,2,0,1,0,3,1,1,8
spirituell,1,0,2,1,0,3,1,4,2,14
weitere Vorwürfe,3,0,1,3,2,6,1,2,12,30
Sum,26,1,14,19,9,39,8,14,30,160
