,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Dummheit,2,1,1,0,1,1,0,2,8
Gefahr für priesterliches Ansehen,1,0,0,0,1,1,0,1,4
Kirchenrechtlich,3,1,1,1,2,1,0,1,10
Liebesbeziehung,0,2,2,0,2,0,0,1,7
Missbrauch,2,2,5,1,2,1,0,6,19
Schutz- und Hilfsbedürftigkeit,1,1,1,1,1,1,0,1,7
Strafrechtlich,3,3,3,1,3,2,0,2,17
Verhältnis nicht weiter spezifiziert,2,2,0,0,2,3,0,4,13
Verstoß gegen 6. Gebot,1,1,1,1,1,1,0,1,7
Weitere Framings,2,1,1,1,2,2,0,2,11
Zölibatsverstoß,1,0,1,0,1,1,0,0,4
der Frau,1,1,1,0,0,0,0,0,3
durch Frau,1,1,1,1,1,1,0,2,8
moralische Verurteilung,3,1,1,1,2,3,0,3,14
sexuelle Handlungen,0,0,0,0,0,0,0,1,1
unerheblich,4,3,2,1,2,1,0,3,16
verklausuliert,3,1,1,1,2,3,0,3,14
"Übergriff, Gewalt etc.",1,1,1,1,1,1,0,1,7
Sum,31,22,23,11,26,23,0,34,170
