,Abwehr,Disclosure privat,Solidarisierung mit den beschuldigten (Betroffene),Verzicht auf Meldung (Betroffene),Weiteres Handeln der Betroffenen,Sum
Dummheit,1,0,0,0,0,1
Gefahr für priesterliches Ansehen,0,0,0,0,0,0
Kirchenrechtlich,1,1,1,1,1,5
Liebesbeziehung,1,1,0,0,0,2
Missbrauch,5,2,1,1,1,10
Schutz- und Hilfsbedürftigkeit,1,1,1,1,1,5
Strafrechtlich,2,1,1,1,1,6
Verhältnis nicht weiter spezifiziert,1,1,0,0,0,2
Verstoß gegen 6. Gebot,1,1,1,1,1,5
Weitere Framings,1,1,1,1,1,5
Zölibatsverstoß,0,0,0,0,0,0
der Frau,0,0,0,0,0,0
durch Frau,1,1,1,1,1,5
moralische Verurteilung,2,2,1,1,1,7
sexuelle Handlungen,0,0,0,0,0,0
unerheblich,1,1,1,1,1,5
verklausuliert,2,2,1,1,1,7
"Übergriff, Gewalt etc.",1,1,1,1,1,5
Sum,21,16,11,11,11,70
