,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Druck/Zwang,1,1,1,1,1,1,0,1,7
"Entschädigung, Wiedergutmachung etc.",0,1,1,0,1,0,0,0,3
Loyalität mit dem Täter,2,3,2,1,2,1,0,2,13
"Maßnahme, Strafe",4,6,5,1,3,4,0,9,32
Neutralisierung,1,2,3,1,1,2,0,3,13
Schweigegebot,1,1,1,1,1,1,0,1,7
Solidarisierung mit Betroffenen,1,1,1,0,0,0,0,0,3
Verschleierung,2,2,1,1,3,1,0,1,11
Verzögerung,1,3,2,1,3,1,0,2,13
Victim Blaming (Bistum),1,1,1,1,1,1,0,1,7
Vorgehen allgemein,3,5,5,1,6,4,0,9,33
keine Konsequenzen,3,5,4,1,6,4,0,5,28
Sum,20,31,27,10,28,20,0,34,170
