,end,id,start,text,catma_displaycolor,catma_markupauthor,catma_markuptimestamp,tag_type,tag_type_id,Art,Belegung,text_name,Primary_class,Secondary_class
0,1580,no_annotation_0,0,"#######################

Seite 22

22 Bei der Sichtung der Datei „_Gesamtübersicht und Anträge auf Anerkennung des Leids“, haben  wir festgestellt, dass hier lediglich zwei Kleriker fehlten, die sowohl in der Excel-Datei „Beschul- digeninkard“ als auch im Compliance-Bericht der Kanzlei Axis enthalten waren. Nach unserer  Überprüfung haben wir diese beiden Kleriker, in die überarbeitete Excel Datei aufgenommen, so  dass diese nun den Gesamtüberblick über die beschuldigten Priester darstellt.  Zu einer Person waren in der Ursprungsdatei bis auf deren Namen keine weiteren Angaben  enthalten, daher haben wir diese Information entfernt. Zusätzlich haben wir in der überarbei- teten Excel-Datei soweit es uns möglich war, einige fehlende Information z.B. zum Tatzeitpunkt  oder zu den Meldungen ergänzt. Die überarbeitete Excel-Datei, deren Daten wir mit Hilfe des  Statistikprogramms SPSS ausgewertet haben, enthält insgesamt Angaben zu 191 Personen, von  denen 16 nicht namentlich bekannt sind und gibt den Stand im Jahr 2021 wieder.5 Wie schon er- wähnt wurden bei einer Meldung zwei namentlich nicht bekannte Kapläne beschuldigt. Diese  haben wir bei der Auswertung, wie eine Person behandelt, so dass der Datensatz aus 190 „Perso- nen“ besteht. Da wir von einer hohen Dunkelziffer von Missbrauchsfällen ausgehen, die nicht in  den Akten dokumentiert sind und zu denen es bisher noch keine Meldung gibt, sind die folgen- den Auswertungen als wichtige Informationen zu verstehen, die jedoch nicht das tatsächliche  Ausmaß an sexualisierter Gewalt im Bistum Essen darstellen. ",,,,,,,,Essen,,
1,1585,E-1,1580,Eine ,-399266,Mhuerten,2025-06-05T17:42:54.103+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,Essen,Relevante Textstelle,
2,1808,no_annotation_1,1585,"Besonderheit des von uns verwendeten Datensatzes ist, dass er auch Daten zu 19 beschul- digten Personen enthält, die aus Sicht des Bistums Essen als rehabilitiert anzusehen sind. Hierzu  sind bei sechs Beschuldigten genaue ",,,,,,,,Essen,,
3,2008,CATMA_06695039-3A3F-4B63-843A-E4DEBFAA6F5E,1808,Angaben zu Gründen angegeben: (1) Vorwurf zurückgenom- men; (2) Vorwurf nicht aufrecht zu erhalten; (3) Mangel an Beweisen; (4) widerrufen; (5) nicht  plausibel und (6) kein sex. Missbrauch/volljährig,-16199595,Mhuerten,2025-06-05T17:44:07.206+0200,Akten,CATMA_60D697B7-C5D8-41E7-BA69-2DE7E7E71115,direkt,,Essen,Zitat,
4,1997,CATMA_03E5B283-B0D0-449A-9C34-91D100925AB4,1977,kein sex. Missbrauch,-3261349,Mhuerten,2025-06-05T17:43:49.753+0200,unerheblich,CATMA_1374DE64-8337-41B4-A889-4661FF3E56D3,,,Essen,Framing der Taten,
5,2008,CATMA_BC242E97-5776-45EE-935F-35FB8F4BA992,1998,volljährig,-725551,Mhuerten,2025-06-05T17:43:26.819+0200,erwachsen,CATMA_EE521272-8EC0-40AC-968A-7EFB4F8B21F5,,,Essen,Alter (Betroffene),
6,2008,_0,1998,volljährig,-9667700,Mhuerten,2025-06-05T17:43:19.225+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
7,8257,_1,8251,Klasse,-9667700,Mhuerten,2025-06-05T17:51:45.578+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
8,10045,_2,10043,) ,-9667700,Mhuerten,2025-06-11T12:54:01.204+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
9,13627,_3,13624,hat,-9667700,Mhuerten,2025-06-13T16:28:06.788+0200,End,CATMA_F652635C-A0CC-4F61-A2B4-D163F685F0FF,,,Essen,Relevante Textstelle,
