,end,id,start,text,catma_displaycolor,catma_markupauthor,catma_markuptimestamp,tag_type,tag_type_id,Belegung,Art,Bestimmung_Umfeld,text_name,Primary_class,Secondary_class
0,5503,no_annotation_0,0,"#######################

Seite 67

  47    und 18 Jahren, differenziert. Historisch gesehen lag die Strafbarkeitsschwelle für  sexuelle Handlungen an/vor Minderjährigen sowohl nach weltlichem als auch nach  kirchlichem Recht über einen längeren Zeitraum bei 16 Jahren und nicht ,wie  heute, bei 18 Jahren.14 Dementsprechend haben die Gutachter zunächst drei  Gruppen zur Kategorisierung der Betroffenen nach ihrem Alter zu Beginn des  Missbrauchsgeschehens gebildet: Betroffene unter 14 Jahren, Betroffene im Alter  von 14 und 15 Jahren sowie Betroffene im Alter von 16 und 17 Jahren. Diese  Kategorien haben die Gutachter sodann um zwei weitere Kategorien ergänzt. Hier- bei handelt es sich zum einen um die Betroffenen, bei denen zwar kein genaues  Alter festgestellt, aber aufgrund anderweitiger Umstände ermittelt werden konnte,  dass sie zu Beginn des Missbrauchsgeschehens unter 18 Jahre alt gewesen sein  müssen. Zum anderen handelt es sich um die im Untersuchungsgegenstand noch  enthaltenen erwachsenen Schutzbefohlenen im Sinne der hier zugrunde gelegten  Leitlinien der Deutschen Bischofskonferenz.   Dies vorausgeschickt konnten die Gutachter feststellen, dass 173 der Betroffenen  zum hier maßgeblichen Zeitpunkt unter 14 Jahre alt, 43 der Betroffenen zwischen  14 und 15 Jahre alt und 38 der Betroffenen zwischen 16 und 17 Jahre alt waren.  Bei 59 der minderjährigen Betroffenen war eine genaue Feststellung des Alters  nicht möglich. In nur einem Fall handelte es sich um einen erwachsenen Schutz- befohlenen.    14 Einzelheiten zum weltlichen Sexualstrafrecht unter D. I. 2.  

#######################

Seite 72

  52    b)  Verdachtsfälle nach Kontext der Tatbegehung  In einem nächsten Schritt haben die Gutachter den situativen Kontext des be- schriebenen Missbrauchsgeschehens näher untersucht.  Hierbei ist zu beachten, dass sich sowohl der beschriebene Tatkontext als auch  der Umfang der hierzu verfügbaren Angaben von Verdachtsfall zu Verdachtsfall  stark unterscheiden. Um die Verdachtsfälle dennoch einer empirischen Auswer- tung zuzuführen, war es daher wiederum erforderlich, abstrakte Kategorien zu de- finieren, denen die einzelnen Verdachtsfälle zugeordnet werden können:  • Kinder- und Jugendbetreuung: In dieser Kategorie wurden Verdachtsfälle  erfasst, in denen sich das Missbrauchsgeschehen schwerpunktmäßig im  Rahmen der kirchlichen Kinder- und Jugendbetreuung zugetragen haben  soll. Hierbei handelt es sich insbesondere um Fälle der Messdienerbetreu- ung.  • Internats- und Heimunterbringung: In dieser Kategorie wurden Ver- dachtsfälle erfasst, in denen sich das Missbrauchsgeschehen schwerpunkt- mäßig im Rahmen einer Internats- oder Heimunterbringung des Betroffenen  ereignet haben soll.   • Ausflüge/Ferienfreizeit: In dieser Kategorie wurden Verdachtsfälle er- fasst, bei denen sich das Missbrauchsgeschehen im Rahmen der Teil- nahme des Betroffenen an einem Ausflug oder einer Ferienfreizeit zugetra- gen haben soll.  • Schule/Unterricht: In dieser Kategorie wurden Verdachtsfälle erfasst, bei  denen sich das Missbrauchsgeschehen in oder im Zusammenhang mit dem  Besuch einer Schule oder des Unterrichts abgespielt hat.  • Sonstiger kirchlicher Kontext: In dieser Kategorie wurden Verdachtsfälle  erfasst, bei denen das beschriebene Missbrauchsgeschehen einen räumli- chen/situativen Zusammenhang mit dem kirchlichen Umfeld aufweist.  

#######################

Seite 73

  53    Hierbei handelt es sich um Missbrauchsgeschehen, die in Verbindung mit  der Spendung von Sakramenten, der Seelsorgetätigkeit oder innerhalb  kirchlicher Räumlichkeiten stattgefunden haben sollen.   • Private Treffen: In der Kategorie „private Treffen“ wurden diejenigen Fälle  erfasst, bei denen das beschriebene Missbrauchsgeschehen keinen unmit- telbaren Zusammenhang zur kirchlichen Tätigkeit des Beschuldigten auf- weist. Darunter fallen insbesondere Missbrauchs(verdachts-)fälle im famili- ären Bereich oder sonstige Treffen im privaten Bereich außerhalb der Kin- der- und Jugendbetreuung.  • Sonstige: In der Kategorie „sonstige“ wurden alle weiteren Verdachtsfälle  erfasst, in denen sich das Missbrauchsgeschehen nicht den vorstehenden  Gruppen zuordnen ließ. Es handelt sich hierbei insbesondere um Vorwürfe  im Zusammenhang mit der Nutzung informationstechnischer Systeme.   • Keine Angaben: Sofern sich den zur Verfügung gestellten Unterlagen  keine genaueren Angaben zum Kontext des Verdachtsfalles entnehmen lie- ßen, wurden diese Verdachtsfälle in der Kategorie „keine Angaben“ berück- sichtigt.  Die Untersuchung zeigt, dass ein großer Teil der Verdachtsfälle (82 von 314) ein  Missbrauchsgeschehen im Rahmen privater Treffen zwischen den Beschuldigten  und den Betroffenen beschreiben. Auf die Kinder- und Jugendbetreuung entfallen  56 Verdachtsfälle. Darüber hinaus konnten 34 Verdachtsfälle dem Bereich Heim-  oder Internatsunterbringung, 39 Verdachtsfälle dem Bereich Schule/Unterricht, 29  Verdachtsfälle dem Bereich Ausflüge/Ferienfreizeiten und 22 Verdachtsfälle dem  Bereich sonstiger kirchlicher Kontext zugeordnet werden. Bei 33 Verdachtsfällen  war eine Einordnung mangels hinreichender Angaben nicht möglich. In 19 Ver- dachtsfällen waren Angaben vorhanden, eine Einordnung in den beschriebenen  Kategorien jedoch nicht möglich.   

#######################

Seite 345

  325    2.  Darstellung und Bewertung der Aktenvorgänge mit festgestellten  Pflichtenverletzungen  a)  Aktenvorgang 1  (1)  Sachverhalt auf Aktengrundlage  (a)  1. Verdachtsfall  ",,,,,,,,,Köln,,
1,5506,K-1,5503,Im ,-399266,Mhuerten,2025-06-05T13:12:06.958+0200,Start,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,,,,Köln,Relevante Textstelle,
2,5515,CATMA_9174B97F-4C90-4B08-8DA1-B9EDFAA57A43,5506,Jahr 1982,-4884623,Mhuerten,2025-06-03T09:43:53.683+0200,Meldung,CATMA_607EF6E2-A9A4-4A08-8A52-1EEDF1AF140A,,,,Köln,Zeit,
3,5516,no_annotation_1,5515, ,,,,,,,,,Köln,,
4,5797,CATMA_199F6CA2-9BFE-4F36-8FFF-3C87D8AE19BE,5516,"erhob eine Frau aus der Gemeinde gegen den Beschuldigten den  Vorwurf, dass dieser ein intimes Verhältnis zu ihrer Tochter unterhalten habe, ihr  möglicherweise bei einem Schwangerschaftsabbruch in den Niederlanden gehol- fen habe und in das Verschwinden der Tochter involviert sei",-3237659,Mhuerten,2025-05-28T11:56:32.199+0200,Umfeld,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,indirekt,,,Köln,Zitat,
5,5573,CATMA_56CF7D42-382F-41B6-B74F-85D18E44BCC1,5559,Beschuldigten ,-7143428,Mhuerten,2025-05-28T11:56:46.483+0200,Kleriker,CATMA_C5C97E2C-3134-4D0E-B852-01932DB00047,,,,Köln,Beschuldigte,
6,5621,CATMA_14BD53A6-BF50-4158-85FF-F1C1B21A5191,5602, intimes Verhältnis,-6748794,Mhuerten,2025-07-04T23:51:45.226+0200,Verhältnis,CATMA_485F159D-27DD-425D-B715-C4877CAA7E0D,Macht- und Abhängigkeitsverhältnis,,,Köln,Tatbeschreibung,sexuell
7,5621,CATMA_93D6D3F4-B22B-444A-B4D5-C0F3B63FD8D5,5603,intimes Verhältnis,-11892824,Mhuerten,2025-06-05T16:37:21.996+0200,Verhältnis nicht weiter spezifiziert,CATMA_D6813191-08A6-4B4A-AE8E-7E4B8D5A86AC,,,,Köln,Framing der Taten,Verhältnis
8,5639,CATMA_8FDF5B20-B1EC-4E85-A5A3-E802A5A049D6,5631,Tochter ,-13288961,Mhuerten,2025-05-28T11:50:48.600+0200,weiblich,CATMA_CC68784B-9178-4E0A-B4A0-5513728C0DB5,,,,Köln,Geschlecht (Betroffene),
9,5711,CATMA_51B8EFAD-E952-47F2-B6A6-6541CC5943AC,5687,Schwangerschaftsabbruch ,-10110086,Mhuerten,2025-05-28T11:51:52.612+0200,reproduktiv,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,,,,Köln,Tatbeschreibung,
