term,frequency,percentage
mädchen,36,23.684
frauen,19,12.5
betroffenen,13,8.553
betroffene,8,5.263
tochter,8,5.263
frau,7,4.605
be-,3,1.974
weiblichen,3,1.974
15jähriges,2,1.316
troffene,2,1.316
ministrantin,2,1.316
minderjährige,2,1.316
schulmädchen,2,1.316
minderjährigen,2,1.316
zwei,2,1.316
häuserin,1,0.658
nichte,1,0.658
cousinen,1,0.658
mulieribus,1,0.658
chen,1,0.658
mäd-,1,0.658
„mädchen“,1,0.658
herrn,1,0.658
pfar-,1,0.658
er-,1,0.658
rin,1,0.658
häuse-,1,0.658
nen,1,0.658
betroffe-,1,0.658
rers,1,0.658
braut,1,0.658
weiteren,1,0.658
troffenen,1,0.658
volljährigen,1,0.658
frl,1,0.658
…,1,0.658
krankenpflegeschülerin,1,0.658
größeren,1,0.658
wachsenen,1,0.658
14-jährige,1,0.658
jährigen,1,0.658
16,1,0.658
praktisch,1,0.658
gruppe,1,0.658
vulnerables,1,0.658
junges,1,0.658
meisten,1,0.658
haus,1,0.658
kleinen,1,0.658
pubertieren-,1,0.658
schutzbefohlenen,1,0.658
messdienerinnen,1,0.658
betroffenen*,1,0.658
mitschülerinnen,1,0.658
mitschülerin,1,0.658
mädchens,1,0.658
