term,frequency,percentage
mädchen,12,12.632
frauen,7,7.368
betroffenen,5,5.263
alter,4,4.211
betroffene,3,3.158
„mädchen“,2,2.105
ergibt,2,2.105
jedoch,2,2.105
davon,2,2.105
auszugehen,2,2.105
ministrantin,2,2.105
dürfte,2,2.105
häuserin,1,1.053
herrn,1,1.053
vorgenannten,1,1.053
geht,1,1.053
pfar-,1,1.053
rers,1,1.053
genaue,1,1.053
braut,1,1.053
her-,1,1.053
schreiben,1,1.053
akten,1,1.053
aufgrund,1,1.053
begriffes,1,1.053
verwendung,1,1.053
cousinen,1,1.053
mulieribus,1,1.053
chen,1,1.053
mäd-,1,1.053
priester,1,1.053
mutter,1,1.053
umstands,1,1.053
sowie,1,1.053
jedenfalls,1,1.053
betroffe-,1,1.053
nen,1,1.053
schwerte,1,1.053
minderjährigen,1,1.053
gehandelt,1,1.053
häuse-,1,1.053
rin,1,1.053
weiteren,1,1.053
unterlagen,1,1.053
seitens,1,1.053
be-,1,1.053
priesters,1,1.053
verwandten,1,1.053
um-,1,1.053
formulierungen,1,1.053
stand,1,1.053
eltern,1,1.053
wandte,1,1.053
minderjährig,1,1.053
minderjährige,1,1.053
krankenpflegeschülerin,1,1.053
27-jährige,1,1.053
frau,1,1.053
16,1,1.053
jahren,1,1.053
männern,1,1.053
person,1,1.053
