term,frequency,percentage
betroffenen,2,6.452
herr,1,3.226
heße,1,3.226
sagte,1,3.226
erzbistum,1,3.226
dr,1,3.226
hinblick,1,3.226
therapie-,1,3.226
finanziell,1,3.226
maßnahmen,1,3.226
unterstützen,1,3.226
wurden,1,3.226
daraufhin,1,3.226
umfangreich,1,3.226
therapiekosten,1,3.226
erzbis-,1,3.226
tum,1,3.226
erstattet,1,3.226
außerdem,1,3.226
sandte,1,3.226
beschuldigte,1,3.226
ausweislich,1,3.226
akteninhalts,1,3.226
entschuldigungsschreiben,1,3.226
leistete,1,3.226
wiedergutmachungs-,1,3.226
zahlung,1,3.226
höhe,1,3.226
10.000,1,3.226
€,1,3.226
