term,frequency,percentage
mädchen,12,6.091
jahren,11,5.584
alter,11,5.584
16,10,5.076
minderjährigen,9,4.569
jahre,7,3.553
frau,6,3.046
14,5,2.538
minderjährige,4,2.03
alt,4,2.03
jünger,4,2.03
ca,3,1.523
jungen,3,1.523
minderjähri­,3,1.523
gen,3,1.523
1977,2,1.015
dokumentiert,2,1.015
15jähriges,2,1.015
17,2,1.015
teilweise,2,1.015
jahr,2,1.015
schulmädchen,2,1.015
heutigem,2,1.015
recht,2,1.015
frauen,2,1.015
geworden,2,1.015
12,2,1.015
beginn,2,1.015
„verhältnisses“,2,1.015
16-18,2,1.015
gibt,2,1.015
mehrheitlich,2,1.015
jedoch,2,1.015
hätten,2,1.015
lebensjahr,2,1.015
begonnen,2,1.015
ersten,2,1.015
betroffenen,2,1.015
übergriffe,2,1.015
beschuldigten,2,1.015
geborene,2,1.015
bereits,2,1.015
gerade,2,1.015
kindern,1,0.508
schulkinder,1,0.508
kin-,1,0.508
zahl,1,0.508
erhebliche,1,0.508
dern,1,0.508
15jährigen,1,0.508
12jäh-,1,0.508
11-,1,0.508
jährigen,1,0.508
größeren,1,0.508
14-,1,0.508
14-jährige,1,0.508
rigen,1,0.508
kinder,1,0.508
18,1,0.508
m,1,0.508
ges,1,0.508
pubertieren-,1,0.508
kleinen,1,0.508
messdienerinnen,1,0.508
junges,1,0.508
n,1,0.508
unkenntnis,1,0.508
konkreten,1,0.508
hinsichtlich,1,0.508
tathergangs,1,0.508
in-,1,0.508
tensität,1,0.508
„übergriffe“,1,0.508
schüler,1,0.508
vulnerables,1,0.508
16-jähri-,1,0.508
minderjähriger,1,0.508
10,1,0.508
klasse,1,0.508
mehrere,1,0.508
mitschülerinnen,1,0.508
14/15,1,0.508
mitschülerin,1,0.508
zweier,1,0.508
mädchens,1,0.508
16-jähriger,1,0.508
säug­,1,0.508
lingen,1,0.508
vorpubertären,1,0.508
