term,frequency,percentage
fälle,7,5.036
%,6,4.317
erwachsene,4,2.878
wurden,3,2.158
beschuldigten,3,2.158
missbrauch,3,2.158
person,3,2.158
personen,3,2.158
betroffene,3,2.158
mehr,2,1.439
insgesamt,2,1.439
510,2,1.439
identifiziert,2,1.439
eindeutig,2,1.439
921,2,1.439
betraf,2,1.439
mindestens,2,1.439
siebte,2,1.439
feststellbar,2,1.439
konnten,2,1.439
kirche,2,1.439
fall,2,1.439
sexuelle,1,0.719
weisbar,1,0.719
39,1,0.719
weiblichen,1,0.719
geschlechts,1,0.719
nach­,1,0.719
knapp,1,0.719
zwei,1,0.719
zugeordnet,1,0.719
beschuldigte,1,0.719
361,1,0.719
be­,1,0.719
149,1,0.719
schuldigten,1,0.719
quellen,1,0.719
grund,1,0.719
auf­,1,0.719
geschlecht,1,0.719
männlich,1,0.719
5,1,0.719
56,1,0.719
akten,1,0.719
74,1,0.719
sexuellem,1,0.719
minderjähri­,1,0.719
gen,1,0.719
wobei,1,0.719
wenige,1,0.719
ausnahmen,1,0.719
männer.6,1,0.719
vertreten,1,0.719
altersspektrum,1,0.719
gesamte,1,0.719
säug­,1,0.719
postpubertären,1,0.719
lingen,1,0.719
vorpubertären,1,0.719
kindern,1,0.719
nen,1,0.719
erwachse­,1,0.719
jungen,1,0.719
14,1,0.719
betrafen,1,0.719
pilotprojektes,1,0.719
ausgewertet,1,0.719
zeugten,1,0.719
12,1,0.719
alter,1,0.719
missbräuche,1,0.719
beauftragten,1,0.719
untersuchten,1,0.719
24,1,0.719
wovon,1,0.719
juristen,1,0.719
strafrechtlich,1,0.719
relevant,1,0.719
vierzig,1,0.719
betroffenen,1,0.719
sowohl,1,0.719
minderjährige,1,0.719
rahmen,1,0.719
15,1,0.719
pilotprojekts,1,0.719
1’002,1,0.719
missbrauchs,1,0.719
sexuellen,1,0.719
umfeld,1,0.719
katholischen,1,0.719
seit,1,0.719
1950,1,0.719
betrof­,1,0.719
fenen,1,0.719
–,1,0.719
deutlich,1,0.719
bislang,1,0.719
öf­,1,0.719
fentlich,1,0.719
kommuniziert,1,0.719
