term,frequency,percentage
anton,25,2.308
p,18,1.662
wurde,17,1.57
bistums,12,1.108
bistum,10,0.923
diakon,10,0.923
n,10,0.923
p.s,7,0.646
hildesheim,7,0.646
–,7,0.646
b,7,0.646
wurden,6,0.554
voruntersuchung,6,0.554
karin,6,0.554
gegenüber,6,0.554
sexualisierten,6,0.554
kirchenrechtlichen,6,0.554
sexuellen,5,0.462
darüber,5,0.462
dk,5,0.462
2010,5,0.462
ge-,4,0.369
priester,4,0.369
opfer,4,0.369
mutter,4,0.369
betroffenen,4,0.369
sei,4,0.369
weise,4,0.369
zeit,4,0.369
weiterer,4,0.369
seiten,4,0.369
falles,4,0.369
bongartz,4,0.369
übergriffe,4,0.369
weiteren,3,0.277
acht,3,0.277
fr,3,0.277
missbrauch,3,0.277
protokoll,3,0.277
folge,3,0.277
erwähnt,3,0.277
maßnahmen,3,0.277
hätte,3,0.277
geeignet,3,0.277
jesuiten,3,0.277
keinerlei,3,0.277
später,3,0.277
wonach,3,0.277
mehr,3,0.277
ver-,3,0.277
worden,3,0.277
hinweis,3,0.277
davon,3,0.277
zunächst,3,0.277
informiert,3,0.277
bekannt,3,0.277
seitens,3,0.277
rechtliche,3,0.277
bischof,3,0.277
interesse,3,0.277
gewalt,3,0.277
fall,3,0.277
außer,3,0.277
gerüchten,2,0.185
gen,2,0.185
genauer,2,0.185
nachzugehen,2,0.185
gar,2,0.185
explizit,2,0.185
verhindern,2,0.185
gemeinde,2,0.185
homeyer,2,0.185
akten,2,0.185
hervor,2,0.185
rahmen,2,0.185
entpflichtung,2,0.185
entsprechende,2,0.185
ja,2,0.185
trotz,2,0.185
verjährung,2,0.185
akte,2,0.185
auftrag,2,0.185
geht,2,0.185
erteilt,2,0.185
2016,2,0.185
seien,2,0.185
finanziellen,2,0.185
kommen,2,0.185
vorwürfe,2,0.185
unregelmäßigkeiten,2,0.185
ergreifen,2,0.185
wären,2,0.185
vorfällen,2,0.185
hätten,2,0.185
hinweise,2,0.185
eingeräumt,2,0.185
völlig,2,0.185
offenbar,2,0.185
daran,2,0.185
bemühungen,2,0.185
