,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Victim Blaming (Bistum),Vorgehen,Sum
Dummheit,0,1,0,0,1,0,3,5
Gefahr für priesterliches Ansehen,0,0,0,0,0,0,1,1
Kirchenrechtlich,0,1,3,1,0,1,3,9
Missbrauch,1,2,7,1,0,1,10,22
Schutz- und Hilfsbedürftigkeit,0,1,1,1,0,1,1,5
Strafrechtlich,1,1,5,1,0,1,7,16
Verführung,0,2,1,1,1,1,3,9
Verhältnis,1,1,1,0,0,0,10,13
Verstoß gegen 6. Gebot,0,1,1,1,0,1,1,5
Weitere Framings,0,1,1,1,0,1,2,6
Zölibatsverstoß,0,0,0,0,0,0,1,1
moralische Verurteilung,0,1,1,1,0,1,3,7
unerheblich,0,2,1,1,1,1,3,9
verklausuliert,0,1,1,1,0,1,3,7
"Übergriff, Gewalt etc.",0,1,1,1,0,1,1,5
Sum,3,16,24,11,3,11,52,120
