,Unglaubwürdigkeit,Weitere Stereotype und Motive,Sum
Anbahnung,2,1,3
Durchführung,2,1,3
Geständnis,1,1,2
Schritte der Wiedergutmachung,0,0,0
Vertuschung,5,1,6
Weiteres Handeln der Beschuldigten,1,1,2
Sum,11,5,16
