,Meldung (Umfeld),Solidarisierung mit Beschuldigtem (Umfeld),Solidarisierung mit Betroffenen (Umfeld),Verzicht auf Meldung (Umfeld),Warnung,Sum
Dummheit,3,0,0,0,1,4
Gefahr für priesterliches Ansehen,1,0,0,0,1,2
Kirchenrechtlich,1,1,0,1,1,4
Missbrauch,6,2,0,1,1,10
Schutz- und Hilfsbedürftigkeit,1,1,0,1,1,4
Strafrechtlich,2,1,0,1,1,5
Verführung,3,1,0,1,1,6
Verhältnis,5,1,1,0,1,8
Verstoß gegen 6. Gebot,1,1,0,1,1,4
Weitere Framings,2,1,0,1,2,6
Zölibatsverstoß,0,0,0,0,0,0
moralische Verurteilung,3,1,1,1,2,8
unerheblich,2,1,0,1,1,5
verklausuliert,3,1,1,1,2,8
"Übergriff, Gewalt etc.",1,1,0,1,1,4
Sum,34,13,3,11,17,78
