,Abwehr,Disclosure privat,Solidarisierung mit den beschuldigten (Betroffene),Verzicht auf Meldung (Betroffene),Weiteres Handeln der Betroffenen,Sum
Anbahnung,2,1,1,1,1,6
Durchführung,2,1,1,1,1,6
Geständnis,1,1,1,1,1,5
Schritte der Wiedergutmachung,0,1,0,0,0,1
Vertuschung,3,1,1,1,1,7
Weiteres Handeln der Beschuldigten,1,2,1,1,1,6
Sum,9,7,5,5,5,31
