,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
Dummheit,1,1,0,1,0,3,1,7
Gefahr für priesterliches Ansehen,0,1,0,0,0,1,1,3
Kirchenrechtlich,1,1,1,2,1,3,0,9
Missbrauch,2,1,2,2,2,5,0,14
Schutz- und Hilfsbedürftigkeit,1,1,0,1,0,1,0,4
Strafrechtlich,1,1,1,2,1,3,0,9
Verführung,2,1,0,2,0,2,0,7
Verhältnis,1,2,0,0,0,3,4,10
Verstoß gegen 6. Gebot,1,1,0,1,0,1,0,4
Weitere Framings,1,2,0,1,0,2,1,7
Zölibatsverstoß,0,0,0,0,0,0,0,0
moralische Verurteilung,1,3,0,1,0,3,2,10
unerheblich,3,1,0,2,0,2,0,8
verklausuliert,1,3,0,1,0,3,2,10
"Übergriff, Gewalt etc.",1,1,0,1,0,1,0,4
Sum,17,20,4,17,4,33,11,106
