,Bildung,Dienstverhältnis,Geistliche Gemeinschaften,Jugendarbeit,Orden,Seelsorge,weitere Tatkonstellationen,Sum
Anbahnung,1,1,1,1,1,2,0,7
Durchführung,1,1,0,1,0,1,0,4
Geständnis,1,1,0,1,0,1,0,4
Schritte der Wiedergutmachung,2,0,0,0,0,1,0,3
Vertuschung,3,2,0,2,0,3,2,12
Weiteres Handeln der Beschuldigten,2,1,0,1,0,1,0,5
Sum,10,6,1,6,1,9,2,35
