,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Victim Blaming (Bistum),Vorgehen,Sum
Anbahnung,1,1,2,1,0,1,2,8
Durchführung,1,1,2,1,0,1,2,8
Geständnis,0,1,2,1,0,1,4,9
Schritte der Wiedergutmachung,0,0,0,0,0,0,3,3
Vertuschung,1,3,4,1,1,1,8,19
Weiteres Handeln der Beschuldigten,0,1,1,1,0,1,2,6
Sum,3,7,11,5,1,5,21,53
