,reproduktiv,sexuell,spirituell,weitere Vorwürfe,Sum
Anbahnung,0,3,2,1,6
Durchführung,0,2,1,1,4
Geständnis,0,4,2,2,8
Schritte der Wiedergutmachung,0,2,0,2,4
Vertuschung,1,7,1,5,14
Weiteres Handeln der Beschuldigten,1,3,1,2,7
Sum,2,21,7,13,43
