,Akten,Beschuldigte,Betroffene,Forschungsliteratur,Kirchenverantwortliche,Kirchliche MA,Sonstige Quellen,Umfeld,Sum
Druck/Zwang,0,0,0,0,0,0,0,0,0
"Entschädigung, Wiedergutmachung etc.",0,0,0,0,0,0,0,0,0
Loyalität mit dem Täter,1,0,0,0,1,0,0,0,2
"Maßnahme, Strafe",4,0,0,0,6,0,0,0,10
Neutralisierung,0,0,0,0,0,0,0,0,0
Schweigegebot,0,0,0,0,0,1,0,0,1
Solidarisierung mit Betroffenen,0,0,1,0,0,0,0,0,1
Verschleierung,0,0,0,0,1,0,0,0,1
Verzögerung,0,0,0,0,0,2,0,0,2
Victim Blaming (Bistum),0,0,0,0,1,0,0,0,1
Vorgehen allgemein,2,0,5,0,6,0,0,0,13
keine Konsequenzen,1,0,1,0,3,0,0,0,5
Sum,8,0,7,0,18,3,0,0,36
