,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Berührungen,33,0,0,0,0,0,0,0,0,33
Entblößen des eigenen Körpers,0,1,0,0,0,0,0,0,0,1
Penetration,0,0,4,0,0,0,2,0,0,6
Sprache/Gesten/Aufforderungen,0,0,0,12,0,0,0,0,0,12
Verhältnis,0,0,0,0,5,0,0,0,0,5
nicht spezifizierte Taten,0,0,0,0,0,79,0,1,0,80
reproduktiv,0,0,2,0,0,0,5,1,0,8
spirituell,0,0,0,0,0,1,1,8,1,11
weitere Vorwürfe,0,0,0,0,0,0,0,1,27,28
Sum,33,1,6,12,5,80,8,11,28,184
