term,frequency,percentage
anton,36,1.957
p,34,1.848
wurde,34,1.848
gespräch,14,0.761
bongartz,14,0.761
bischof,13,0.707
beschuldigten,12,0.652
hildesheim,12,0.652
–,11,0.598
dr,11,0.598
bistum,10,0.543
dk,9,0.489
frau,9,0.489
bistums,9,0.489
generalvikar,9,0.489
weiteren,9,0.489
priester,9,0.489
b,9,0.489
beschuldigte,8,0.435
karin,8,0.435
daraufhin,7,0.38
aschemann,7,0.38
fall,7,0.38
josef,6,0.326
michaeler,6,0.326
missbrauch,6,0.326
voruntersuchung,6,0.326
ver-,6,0.326
sei,6,0.326
mehr,6,0.326
betroffenen,6,0.326
brief,5,0.272
heße,5,0.272
sache,5,0.272
kam,5,0.272
köln,5,0.272
p.s,5,0.272
mutter,5,0.272
homeyer,5,0.272
könne,5,0.272
…,5,0.272
pfarrer,5,0.272
holst,4,0.217
gestellt,4,0.217
wurden,4,0.217
gegeben,4,0.217
erzbistum,4,0.217
kirchenrechtlichen,4,0.217
folge,4,0.217
bekannt,4,0.217
vorwürfe,4,0.217
höfer,4,0.217
k,4,0.217
rom,4,0.217
hauptabteilung,4,0.217
notwendig,4,0.217
gegenüberstellung,4,0.217
wann,4,0.217
be-,4,0.217
interview,4,0.217
diözese,4,0.217
missbrauchsbeauftragte,4,0.217
entschieden,4,0.217
lassen,4,0.217
gemeinde,4,0.217
zunächst,4,0.217
damaligen,4,0.217
großeltern,4,0.217
jahre,4,0.217
immer,4,0.217
herrn,4,0.217
versetzung,4,0.217
sexuellen,4,0.217
u,3,0.163
h,3,0.163
d,3,0.163
hinsichtlich,3,0.163
protokoll,3,0.163
digten,3,0.163
offizial,3,0.163
weiterer,3,0.163
möglichkeit,3,0.163
gebiet,3,0.163
dennoch,3,0.163
ergebnis,3,0.163
weihbischof,3,0.163
prof,3,0.163
schriftlich,3,0.163
18,3,0.163
leiter,3,0.163
beschul-,3,0.163
leygraf,3,0.163
fand,3,0.163
gesprächs,3,0.163
jungen,3,0.163
mädchen,3,0.163
e-mail,3,0.163
seiten,3,0.163
missbrauchsbeauftragten,3,0.163
hinweis,3,0.163
ten,3,0.163
müssen,3,0.163
informiert,3,0.163
dabei,3,0.163
vorwürfen,3,0.163
melden,3,0.163
2010,3,0.163
hirt«,3,0.163
gemeldet,3,0.163
staatsanwaltschaft,3,0.163
