term,frequency,percentage
p,11,3.691
anton,10,3.356
frau,5,1.678
sei,4,1.342
sexuellen,4,1.342
leugnet,4,1.342
darin,3,1.007
übergriffe,3,1.007
großeltern,3,1.007
jungen,2,0.671
wolle,2,0.671
bistum,2,0.671
entlassung,2,0.671
u,2,0.671
denen,2,0.671
gemeinde,2,0.671
spricht,2,0.671
missbrauch,2,0.671
last,2,0.671
gelegten,2,0.671
wurden,2,0.671
erklärte,2,0.671
vorwürfe,2,0.671
sympathie,1,0.336
körper,1,0.336
kennenzulernen,1,0.336
hildesheim,1,0.336
inkardination,1,0.336
17.11.1995,1,0.336
jesuitenorden,1,0.336
bereit,1,0.336
unschuld,1,0.336
geleugnet,1,0.336
helfen,1,0.336
benötigen,1,0.336
nachdem,1,0.336
vorgeworfenen,1,0.336
ausdrücken,1,0.336
unterstellt,1,0.336
gesehen,1,0.336
ges«,1,0.336
abarti-,1,0.336
»nichts,1,0.336
betont,1,0.336
körperlicher,1,0.336
wunsch,1,0.336
verweist,1,0.336
ausgegangen,1,0.336
nähe,1,0.336
schulunterricht,1,0.336
bischof,1,0.336
mitteilung,1,0.336
3.04.1995,1,0.336
orden,1,0.336
deshalb,1,0.336
vater,1,0.336
kindheit,1,0.336
deutet,1,0.336
nächs-,1,0.336
ten,1,0.336
angeschlagen«,1,0.336
»psychisch,1,0.336
briefe,1,0.336
aschemann,1,0.336
sicht,1,0.336
sachverhalt,1,0.336
darzustellen,1,0.336
sinngemäß,1,0.336
tagen,1,0.336
schreibt,1,0.336
sug-,1,0.336
geriere,1,0.336
bittet,1,0.336
zumindest,1,0.336
aufschub,1,0.336
entpflichtung,1,0.336
aufgaben,1,0.336
»guten,1,0.336
hirten«,1,0.336
vielfalt,1,0.336
geplanten,1,0.336
aktivitäten,1,0.336
begründet,1,0.336
strategie,1,0.336
»psycho-clan«,1,0.336
frauen,1,0.336
reits,1,0.336
be-,1,0.336
erfolg,1,0.336
1995,1,0.336
geführt,1,0.336
dabei,1,0.336
som-,1,0.336
gewünschten,1,0.336
»mit,1,0.336
zwei,1,0.336
großen,1,0.336
gruppen,1,0.336
kindern,1,0.336
unterwegs«,1,0.336
zugab,1,0.336
merferien,1,0.336
bzw,1,0.336
herunterspielte,1,0.336
bestreitet,1,0.336
nton,1,0.336
darstellungen,1,0.336
u.s,1,0.336
ende,1,0.336
weiterhin,1,0.336
gottesdienstes,1,0.336
teilt,1,0.336
gesundheitlichen,1,0.336
schwere,1,0.336
homeyer,1,0.336
inkardinieren,1,0.336
15.04.1995,1,0.336
bitte,1,0.336
diakon,1,0.336
ganz,1,0.336
voll,1,0.336
verlässt,1,0.336
gründen,1,0.336
druck,1,0.336
interview,1,0.336
n,1,0.336
»system,1,0.336
belohnung«,1,0.336
seite,1,0.336
errichtete,1,0.336
standen,1,0.336
teuren,1,0.336
anschaffungen,1,0.336
äußert,1,0.336
betroffene,1,0.336
sexualisierter,1,0.336
gewalt,1,0.336
mitwisser,1,0.336
mithilfe,1,0.336
»belohnungen«,1,0.336
schweigen,1,0.336
gebracht,1,0.336
drängt,1,0.336
zweifelsfrei,1,0.336
verifiziert,1,0.336
zeit,1,0.336
canisiuskolleg,1,0.336
verstrickt,1,0.336
annahme,1,0.336
ein-,1,0.336
wiederholt,1,0.336
immer,1,0.336
namik,1,0.336
dy-,1,0.336
unterstützung,1,0.336
menschen,1,0.336
rechnen,1,0.336
innerhalb,1,0.336
seelsorgerischen,1,0.336
engagements,1,0.336
teil,1,0.336
geradezu,1,0.336
überhöhten,1,0.336
dahinter,1,0.336
ver-,1,0.336
konnte,1,0.336
birgt,1,0.336
klassische,1,0.336
verstrickung,1,0.336
täterstrategie,1,0.336
umfelds,1,0.336
unent-,1,0.336
behrlichmachens,1,0.336
näheren,1,0.336
»kämpferischen,1,0.336
verbrüderung«,1,0.336
»wir,1,0.336
sinne,1,0.336
die«,1,0.336
jahre,1,0.336
2010,1,0.336
wonach,1,0.336
sämtliche,1,0.336
überraschend,1,0.336
wenig,1,0.336
leugnete,1,0.336
mindest,1,0.336
fall,1,0.336
belegbar,1,0.336
taten,1,0.336
gerichteten,1,0.336
nutzte,1,0.336
junge,1,0.336
massiv,1,0.336
agitieren,1,0.336
wobei,1,0.336
erneut,1,0.336
zu-,1,0.336
schamgrenzen,1,0.336
überschritt,1,0.336
entwickelte,1,0.336
verschwörungstheorien,1,0.336
anhörung,1,0.336
fälle,1,0.336
beziehung,1,0.336
schützen,1,0.336
lebt,1,0.336
sorgeberechtigt,1,0.336
öffnet,1,0.336
gegenüber,1,0.336
loyalität,1,0.336
konkurriert,1,0.336
verletztheit,1,0.336
–,1,0.336
vertraut,1,0.336
offensichtlich,1,0.336
darauf,1,0.336
nächsten,1,0.336
tag,1,0.336
tut,1,0.336
geschehen,1,0.336
folgezeit,1,0.336
besuchen,1,0.336
bringt,1,0.336
teure,1,0.336
geschenke,1,0.336
weshalb,1,0.336
gemachten,1,0.336
stimmen,1,0.336
könnten,1,0.336
äusserte,1,0.336
ausführlich,1,0.336
vorge­,1,0.336
hensweise,1,0.336
fachgremiums,1,0.336
vorverurteile,1,0.336
enge,1,0.336
treibe,1,0.336
so­,1,0.336
keinerlei,1,0.336
rechtliche,1,0.336
grundlagen,1,0.336
kompetenzen,1,0.336
massnahmen,1,0.336
therapie,1,0.336
verlangen,1,0.336
