term,frequency,percentage
anton,11,3.873
p,9,3.169
diakon,4,1.408
n,4,1.408
wurde,4,1.408
sexualisierten,3,1.056
später,3,1.056
mehr,3,1.056
fall,3,1.056
erwähnt,3,1.056
homeyer,2,0.704
übergriffe,2,0.704
explizit,2,0.704
völlig,2,0.704
weiterer,2,0.704
gemeinde,2,0.704
genommen,2,0.704
entpflichtung,2,0.704
gemeinden,2,0.704
darüber,2,0.704
gegenüber,2,0.704
gehalten,2,0.704
informiert,2,0.704
wolfsburg,2,0.704
außer,2,0.704
acht,2,0.704
weise,2,0.704
laut,2,0.704
voruntersuchung,2,0.704
thema,2,0.704
p.s,2,0.704
hildesheim,2,0.704
sexuellen,2,0.704
ge-,2,0.704
bistums,2,0.704
rechtliche,2,0.704
–,2,0.704
b,2,0.704
karin,2,0.704
kirchenrechtlichen,2,0.704
protokoll,2,0.704
wandte,1,0.352
ermessen,1,0.352
belügt,1,0.352
daraufhin,1,0.352
bistumsseite,1,0.352
wissentlich,1,0.352
kauf,1,0.352
abgang,1,0.352
kirchengemeinde,1,0.352
eingeräumt,1,0.352
anzukündigen,1,0.352
gemeindemitglieder,1,0.352
rahmen,1,0.352
ausgesprochenes,1,0.352
irritiert,1,0.352
folge,1,0.352
eingesetzt,1,0.352
erkennbar,1,0.352
denen,1,0.352
auffindbar,1,0.352
sei,1,0.352
begangenen,1,0.352
bezüglich,1,0.352
wurden,1,0.352
hannover-mühlenberg,1,0.352
interview,1,0.352
schildert,1,0.352
dokumen-,1,0.352
akte,1,0.352
tiert,1,0.352
erinnerte,1,0.352
telefonisch,1,0.352
tage,1,0.352
14,1,0.352
informierte,1,0.352
bestä-,1,0.352
tigte,1,0.352
zelebrations-,1,0.352
verbot,1,0.352
darauf,1,0.352
hinweise,1,0.352
zelebrationsverbot,1,0.352
bischof,1,0.352
wobei,1,0.352
recht,1,0.352
unterredung,1,0.352
weiterging,1,0.352
ernennungsurkunde,1,0.352
gar,1,0.352
auflage,1,0.352
1999,1,0.352
osseforth,1,0.352
wussten,1,0.352
»pfarrer,1,0.352
verboten,1,0.352
hannover,1,0.352
jugendarbeit,1,0.352
worden,1,0.352
nie,1,0.352
achten,1,0.352
müssen.«,1,0.352
hätten,1,0.352
bekamen,1,0.352
berlin-kreuzberg,1,0.352
»wen,1,0.352
gesetzt,1,0.352
kenntnis,1,0.352
gegenstand,1,0.352
lle,1,0.352
ausschließlich,1,0.352
sprächs,1,0.352
unregelmäßigkeiten,1,0.352
finanziellen,1,0.352
geht,1,0.352
hervor,1,0.352
holst,1,0.352
richtung,1,0.352
grenzverletzungen,1,0.352
dk,1,0.352
kinderta-,1,0.352
mitarbeiterinnen,1,0.352
gesstätte,1,0.352
entsprechende,1,0.352
aschemann,1,0.352
aus-,1,0.352
würdigung,1,0.352
offizials,1,0.352
gegeben,1,0.352
schlag,1,0.352
strategie,1,0.352
wort,1,0.352
insofern,1,0.352
leichtes,1,0.352
spiel,1,0.352
bistum,1,0.352
da-,1,0.352
abstand,1,0.352
gründe,1,0.352
versetzungen,1,0.352
transparent,1,0.352
falle,1,0.352
gewalttaten,1,0.352
fokussiert,1,0.352
verantwortungs-,1,0.352
bereich,1,0.352
probleme,1,0.352
unberücksichtigt,1,0.352
sollen,1,0.352
fern-,1,0.352
geäußert.«,1,0.352
neutral,1,0.352
chance,1,0.352
»eine,1,0.352
davon,1,0.352
rede,1,0.352
»neuanfängen«,1,0.352
nachgewiesen,1,0.352
schweigegebot,1,0.352
diesbezügliches,1,0.352
explizites,1,0.352
sogar,1,0.352
opfer,1,0.352
gegeben«,1,0.352
verständlich,1,0.352
pastoraler,1,0.352
sicht,1,0.352
mag,1,0.352
geschilderten,1,0.352
bewertet,1,0.352
ansprechpartner,1,0.352
kirchliche,1,0.352
lassen,1,0.352
schutz,1,0.352
möglicher,1,0.352
ausgesetzten,1,0.352
zunächst,1,0.352
vorfall,1,0.352
missbrauch,1,0.352
anhörung,1,0.352
gesprächsvermerk,1,0.352
ebenso,1,0.352
ersten,1,0.352
august,1,0.352
2010,1,0.352
andererseits,1,0.352
art,1,0.352
informationsübermittlung,1,0.352
aktives,1,0.352
interesse,1,0.352
seitens,1,0.352
er-,1,0.352
kennbar,1,0.352
ermittlungsbehörden,1,0.352
einordnung,1,0.352
falles,1,0.352
unterstützen,1,0.352
implizit,1,0.352
dabei,1,0.352
all,1,0.352
delikte,1,0.352
gelassen,1,0.352
jahrzehnten,1,0.352
zuvor,1,0.352
began-,1,0.352
gen,1,0.352
hinweis,1,0.352
herrn,1,0.352
dr,1,0.352
heße,1,0.352
staats-,1,0.352
anwaltschaft,1,0.352
verhalten,1,0.352
lediglich,1,0.352
beleidigung,1,0.352
eingestuft,1,0.352
