term,frequency,percentage
frauen,2,2.899
vorwürfe,2,2.899
priester,1,1.449
sic,1,1.449
zähle,1,1.449
viele,1,1.449
herum,1,1.449
hätten,1,1.449
verleumdung,1,1.449
anton,1,1.449
mädchen,1,1.449
p.s,1,1.449
mexikanische,1,1.449
spricht,1,1.449
mutter,1,1.449
sinngemäß,1,1.449
»psycho-clan«,1,1.449
jungen,1,1.449
probleme,1,1.449
übergriffe,1,1.449
sug-,1,1.449
geriere,1,1.449
ie,1,1.449
risiko,1,1.449
unterstellung,1,1.449
mangelnden,1,1.449
glaubwürdigkei,1,1.449
ganze,1,1.449
sinne,1,1.449
pubertären,1,1.449
haltung,1,1.449
werten,1,1.449
misstrauen,1,1.449
mangelnde,1,1.449
sexuellen,1,1.449
glaubwürdigkeit,1,1.449
anliegens,1,1.449
bekannt,1,1.449
interpretiert,1,1.449
anzeigenerstatterin,1,1.449
bereits,1,1.449
vergangenheit,1,1.449
sei,1,1.449
unbegründete,1,1.449
mehrere,1,1.449
personen,1,1.449
erhoben,1,1.449
frau,1,1.449
sprechen,1,1.449
muß,1,1.449
machte,1,1.449
unglaubwürdigen,1,1.449
ein-,1,1.449
druck,1,1.449
allerdings,1,1.449
weiß,1,1.449
eben,1,1.449
nie,1,1.449
eh,1,1.449
niemand,1,1.449
glauben,1,1.449
ass,1,1.449
anzeigeerstatter,1,1.449
wiederholt,1,1.449
unberech-,1,1.449
tigte,1,1.449
erheben,1,1.449
