term,frequency,percentage
jahre,20,9.346
2010,14,6.542
mitte,11,5.14
1970er,9,4.206
1960er,5,2.336
ende,5,2.336
anfang,4,1.869
1993,4,1.869
1997,4,1.869
1989,3,1.402
2020er,3,1.402
2016,3,1.402
1991,2,0.935
1990er,2,0.935
missbrauch,2,0.935
berichtet,2,0.935
darüber,2,0.935
jahr,2,0.935
damaligen,2,0.935
1980er,2,0.935
beginn,2,0.935
sexuellen,2,0.935
4.03.2010,2,0.935
2015,2,0.935
gemeldet,2,0.935
frau,2,0.935
2008,2,0.935
2013,2,0.935
2007,2,0.935
2009,2,0.935
april,2,0.935
2002,2,0.935
betroffene,1,0.467
zen-brixen,1,0.467
bo-,1,0.467
diözese,1,0.467
ombudsstelle,1,0.467
weibliche,1,0.467
gruppenleiterin,1,0.467
schulzeit,1,0.467
priester,1,0.467
beschwert,1,0.467
hätte,1,0.467
anton,1,0.467
berichtete,1,0.467
p,1,0.467
meldete,1,0.467
2010er,1,0.467
anzuzeigen,1,0.467
aufgrund,1,0.467
nied-,1,0.467
sozialen,1,0.467
erlittenen,1,0.467
rigen,1,0.467
trauten,1,0.467
nie,1,0.467
stellung,1,0.467
r,1,0.467
herrn,1,0.467
supervisor,1,0.467
belästigung,1,0.467
erlittene,1,0.467
sexuelle,1,0.467
fernsehdokumentation,1,0.467
begangen,1,0.467
bestätigten,1,0.467
gegenüber,1,0.467
handlungen,1,0.467
mädchen,1,0.467
2.02.2010,1,0.467
kommt,1,0.467
14-jähriges,1,0.467
25.03.1997,1,0.467
missbrauchs,1,0.467
minderjähriger,1,0.467
geistliche,1,0.467
dienst,1,0.467
bistums,1,0.467
hildesheim,1,0.467
dk,1,0.467
bongartz,1,0.467
erzählt,1,0.467
karin,1,0.467
religionslehrerin,1,0.467
b,1,0.467
beauf-,1,0.467
tragten,1,0.467
prüfung,1,0.467
vorwürfen,1,0.467
rat,1,0.467
folgt,1,0.467
sprechen,1,0.467
großmutter,1,0.467
ermutigt,1,0.467
therapeut,1,0.467
therapeuten,1,0.467
dechanten,1,0.467
gespräch,1,0.467
informiert,1,0.467
vater,1,0.467
füh-,1,0.467
1982,1,0.467
16.11.2010,1,0.467
entschließt,1,0.467
k,1,0.467
oktober,1,0.467
1999,1,0.467
ren,1,0.467
2017,1,0.467
ine,1,0.467
angezeigt,1,0.467
sowohl,1,0.467
kindheit,1,0.467
e,1,0.467
m,1,0.467
erlebte,1,0.467
übergriffe,1,0.467
grenzüberschreitendem,1,0.467
verhalten,1,0.467
priesters,1,0.467
erwachsenenalter,1,0.467
