term,frequency,percentage
priester,67,44.371
beschuldigten,20,13.245
beschuldigte,13,8.609
priesters,9,5.96
beschul-,4,2.649
pfarrer,4,2.649
digten,4,2.649
be-,3,1.987
priestern,2,1.325
deutschsprachige,1,0.662
d,1,0.662
ter,1,0.662
pries-,1,0.662
rer,1,0.662
pfar-,1,0.662
schuldigten,1,0.662
krankenhausseelsorger,1,0.662
religionslehrer,1,0.662
hausgeistlichen,1,0.662
schuldigte,1,0.662
aufgaben,1,0.662
klerikalen,1,0.662
„sus-,1,0.662
pendierung“,1,0.662
priesterlichen,1,0.662
schuldigt,1,0.662
pflichten,1,0.662
ziel,1,0.662
wenige,1,0.662
laisierung,1,0.662
ausnahmen,1,0.662
männer,1,0.662
spiritual,1,0.662
ordensleuten,1,0.662
