term,frequency,percentage
anton,38,3.107
p,32,2.617
priester,24,1.962
wurde,21,1.717
bischof,13,1.063
jahre,12,0.981
generalvikar,10,0.818
priesters,8,0.654
homeyer,7,0.572
–,7,0.572
p.s,7,0.572
hildesheim,7,0.572
gemeinde,7,0.572
voruntersuchung,7,0.572
versetzung,6,0.491
gespräch,6,0.491
sei,6,0.491
pfarrer,6,0.491
mehr,6,0.491
hirt«,5,0.409
»guter,5,0.409
folge,5,0.409
aschemann,5,0.409
pfarrei,5,0.409
wurden,5,0.409
worden,4,0.327
jahr,4,0.327
michaeler,4,0.327
jedoch,4,0.327
bistum,4,0.327
josef,4,0.327
daraufhin,4,0.327
statt,4,0.327
beschuldigte,4,0.327
später,4,0.327
u,3,0.245
allerdings,3,0.245
aufgaben,3,0.245
art,3,0.245
matzneller,3,0.245
anfang,3,0.245
aufgrund,3,0.245
bleiben,3,0.245
strafe,3,0.245
dennoch,3,0.245
2,3,0.245
darin,3,0.245
zwei,3,0.245
ende,3,0.245
mitgeteilt,3,0.245
fr,3,0.245
2010,3,0.245
diözese,3,0.245
holst,3,0.245
enthebung,3,0.245
amt,3,0.245
bozen-brixen,3,0.245
selben,3,0.245
tätigkeit,3,0.245
erst,3,0.245
höfer,3,0.245
damaligen,3,0.245
weiteren,3,0.245
behandlung,3,0.245
monate,3,0.245
versetzt,2,0.164
grund,2,0.164
lässt,2,0.164
entnehmen,2,0.164
1980er,2,0.164
fand,2,0.164
handelte,2,0.164
enthoben,2,0.164
erfolgte,2,0.164
guter,2,0.164
bisherigen,2,0.164
einsatzort,2,0.164
verlassen,2,0.164
domkapitular,2,0.164
jo-,2,0.164
entpflichtet,2,0.164
gargitter,2,0.164
immer,2,0.164
pfarrers,2,0.164
zung,2,0.164
müsse,2,0.164
darüber,2,0.164
folgejahren,2,0.164
wohl,2,0.164
pri-,2,0.164
teilzunehmen,2,0.164
rede,2,0.164
gestellt,2,0.164
göttingen,2,0.164
zeit,2,0.164
eingang,2,0.164
meldung,2,0.164
könne,2,0.164
angewiesen,2,0.164
wilhelm,2,0.164
bereit,2,0.164
d,2,0.164
zunächst,2,0.164
familie,2,0.164
rapide,2,0.164
1990er,2,0.164
zustand,2,0.164
entpflichtung,2,0.164
dabei,2,0.164
ausland,2,0.164
brief,2,0.164
veranlassung,2,0.164
jugendlichen,2,0.164
lassen,2,0.164
schreiben,2,0.164
auftrag,2,0.164
verbracht,2,0.164
exklaustration,2,0.164
v,2,0.164
ner,2,0.164
verfehlungen,2,0.164
rahmen,2,0.164
hirt,2,0.164
…,2,0.164
verwarnung,2,0.164
can,2,0.164
dekan,2,0.164
stellungnahme,2,0.164
gibt,2,0.164
frau,2,0.164
bischofs,2,0.164
vorwürfen,2,0.164
somit,2,0.164
schriftliche,2,0.164
geführt,2,0.164
kloster,2,0.164
1997,2,0.164
wegen,2,0.164
klinik,2,0.164
findet,2,0.164
rechtsdirektor,2,0.164
ax,2,0.164
kontakte,2,0.164
kirchengemeinde,2,0.164
diesbezüglichen,2,0.164
fall,2,0.164
ebenfalls,2,0.164
erfolgt,2,0.164
hannover,2,0.164
ruhestand,2,0.164
allein,2,0.164
1.04.2010,2,0.164
schreer,2,0.164
bittet,2,0.164
vorgehalten,2,0.164
drei,2,0.164
s,2,0.164
nachdem,2,0.164
kooperator,2,0.164
einschätzung,2,0.164
taten,2,0.164
bistums,2,0.164
unberücksichtigt,2,0.164
delikte,2,0.164
kirchenrechtliche,2,0.164
strafverfahren,2,0.164
last,2,0.164
staatsanwaltschaft,2,0.164
be-,2,0.164
vorfall,2,0.164
egger,2,0.164
beschuldigten,2,0.164
erzbistum,2,0.164
köln,2,0.164
münsterschwarzach,2,0.164
sämtliche,2,0.164
untergebracht,1,0.082
darauffolgenden,1,0.082
zehn,1,0.082
geprägt,1,0.082
klinikaufenthalten,1,0.082
psychiatrie,1,0.082
er-,1,0.082
folglosen,1,0.082
versuchen,1,0.082
bistumsleitung,1,0.082
geeignete,1,0.082
auf-,1,0.082
gabe,1,0.082
übertragen,1,0.082
ab,1,0.082
mitte,1,0.082
langwierige,1,0.082
bistumsinterne,1,0.082
auseinan-,1,0.082
dersetzung,1,0.082
betreffend,1,0.082
pensionsansprüche,1,0.082
2010er,1,0.082
drohte,1,0.082
anhal-,1,0.082
tender,1,0.082
laisierung,1,0.082
akte,1,0.082
gewünschte,1,0.082
offenbar,1,0.082
vorge-,1,0.082
legte,1,0.082
kooperatorenbericht,1,0.082
hinsichtlich,1,0.082
bereits,1,0.082
ande-,1,0.082
ren,1,0.082
stammt,1,0.082
„bischof,1,0.082
anm,1,0.082
seph,1,0.082
geredet,1,0.082
…].“,1,0.082
dorf,1,0.082
deswegen,1,0.082
