term,frequency,percentage
frau,21,13.816
mädchen,14,9.211
u,11,7.237
fr,8,5.263
b,7,4.605
karin,7,4.605
v,7,4.605
z,6,3.947
zwei,4,2.632
14-jähriges,3,1.974
mexikanisches,3,1.974
tochter,3,1.974
k,3,1.974
chilenische,3,1.974
mutter,3,1.974
junge,2,1.316
s,2,1.316
frauen,2,1.316
jungen,2,1.316
mitarbeiterin,2,1.316
w,1,0.658
11-jährige,1,0.658
9-jähriges,1,0.658
schülern,1,0.658
8-oder,1,0.658
betroffenen,1,0.658
ehemaligen,1,0.658
spätere,1,0.658
16-jährige,1,0.658
jugendliche,1,0.658
=,1,0.658
praktikantin,1,0.658
mehrere,1,0.658
14-jährige,1,0.658
41,1,0.658
weibliche,1,0.658
14-jährigen,1,0.658
beiden,1,0.658
gruppenleiterin,1,0.658
freundin,1,0.658
damals,1,0.658
kin-,1,0.658
dertagesstätte,1,0.658
minderjährigen,1,0.658
9-jährige,1,0.658
8-,1,0.658
chilenischen,1,0.658
mitarbeiterinnen,1,0.658
mexikanerin,1,0.658
u.s,1,0.658
gleichaltrige,1,0.658
südamerikanischen,1,0.658
drei,1,0.658
lateinamerikanischen,1,0.658
beteiligten,1,0.658
person,1,0.658
ungefähr,1,0.658
zwanzig,1,0.658
kinder,1,0.658
