term,frequency,percentage
fr,3,3.896
praxis,2,2.597
gegenüber,2,2.597
jahre,2,2.597
opfer,2,2.597
bistums,2,2.597
fällen,1,1.299
nachgewiesene,1,1.299
kritisieren,1,1.299
drei,1,1.299
belasten,1,1.299
aussagen,1,1.299
gewalt,1,1.299
sexualisierter,1,1.299
p.s,1,1.299
wieder-,1,1.299
holen,1,1.299
besonders,1,1.299
bedenklich,1,1.299
dabei,1,1.299
anwesenheit,1,1.299
anliegen,1,1.299
neuerer,1,1.299
umstand,1,1.299
hen,1,1.299
zeit,1,1.299
nämlich,1,1.299
zusammenhang,1,1.299
meldungen,1,1.299
gesche-,1,1.299
v,1,1.299
z,1,1.299
2010,1,1.299
dk,1,1.299
bongartz,1,1.299
entspricht,1,1.299
vorgangsweise,1,1.299
anton,1,1.299
offizial,1,1.299
aschemann,1,1.299
frau,1,1.299
u,1,1.299
1997,1,1.299
berichten,1,1.299
zufolge,1,1.299
schuldig,1,1.299
fühlte,1,1.299
man-,1,1.299
gelnde,1,1.299
bereitschaft,1,1.299
täter,1,1.299
aussage,1,1.299
wiederholen,1,1.299
ei-,1,1.299
ner,1,1.299
»fahrlässigen,1,1.299
gerichtsbarkeit«,1,1.299
seiten,1,1.299
gesprochen,1,1.299
risiko,1,1.299
unterstellung,1,1.299
mangelnden,1,1.299
glaubwürdigkeit,1,1.299
darüber,1,1.299
hinaus,1,1.299
gehende,1,1.299
psychische,1,1.299
belastungen,1,1.299
kauf,1,1.299
nimmt,1,1.299
