term,frequency,percentage
priester,14,1.884
…,13,1.75
anton,11,1.48
mädchen,11,1.48
pfarrer,10,1.346
jahre,7,0.942
zeit,6,0.808
zuständigen,6,0.808
p.s,6,0.808
michaeler,6,0.808
p,5,0.673
gegenüber,5,0.673
berichtet,5,0.673
josef,5,0.673
frau,5,0.673
gespräch,4,0.538
priesters,4,0.538
gemeinde,4,0.538
schreiben,4,0.538
mitte,4,0.538
frauen,4,0.538
beziehungen,3,0.404
großeltern,3,0.404
darüber,3,0.404
s,3,0.404
ge-,3,0.404
generalvi-,3,0.404
kar,3,0.404
weiteren,3,0.404
sei,3,0.404
monate,3,0.404
generalvikar,3,0.404
daraufhin,3,0.404
„[…,3,0.404
bürgermeister,3,0.404
ordinariat,3,0.404
übergriffe,2,0.269
sexualisierter,2,0.269
hannover,2,0.269
m,2,0.269
e-mail,2,0.269
n,2,0.269
diakon,2,0.269
opfer,2,0.269
b,2,0.269
/,2,0.269
2.02.2010,2,0.269
bistum,2,0.269
2010,2,0.269
mädchens,2,0.269
gerüchte,2,0.269
sehen,2,0.269
weit,2,0.269
–,2,0.269
bekannt,2,0.269
damalige,2,0.269
beklagte,2,0.269
…].“,2,0.269
eltern,2,0.269
sorgeberechtigten,2,0.269
zwei,2,0.269
sache,2,0.269
damals,2,0.269
wurden,2,0.269
chen,2,0.269
mitglieder,2,0.269
jungen,2,0.269
pfarrei,2,0.269
wandte,2,0.269
unangemessenen,2,0.269
berichtete,2,0.269
missbrauch,2,0.269
sexuellen,2,0.269
bischof,2,0.269
sic,2,0.269
ansehen,2,0.269
bongartz,2,0.269
homeyer,2,0.269
bereits,2,0.269
getränke,2,0.269
hauptsächlich,2,0.269
wissen,2,0.269
spricht,2,0.269
bozen-brixen,2,0.269
beschwerden,2,0.269
bücherei,2,0.269
mutter,2,0.269
geworden,2,0.269
vergeude,2,0.269
kostspielige,2,0.269
später,2,0.269
diözese,2,0.269
rat,2,0.269
pfarrgemeinde-,2,0.269
dortige,2,0.269
beschwerte,2,0.269
geld,2,0.269
summen,2,0.269
beträchtliche,2,0.269
sinnlos,2,0.269
vergnügungsveranstaltungen,2,0.269
„bei,2,0.269
abstossender,2,0.269
aufdringlichkeit,2,0.269
damen‘,2,0.269
‚jungen,2,0.269
dabei,2,0.269
1970er,2,0.269
versetzung,2,0.269
erkennbaren,2,0.269
empfänger,2,0.269
mitgeteilt,2,0.269
