,term,frequency,percentage
0,anton,110,2.293
1,p,94,1.96
2,wurde,78,1.626
3,priester,42,0.876
4,bischof,32,0.667
5,hildesheim,29,0.605
6,bistum,27,0.563
7,–,27,0.563
8,bistums,25,0.521
9,gespräch,24,0.5
10,p.s,21,0.438
11,sei,21,0.438
12,bongartz,20,0.417
13,voruntersuchung,20,0.417
14,jahre,20,0.417
15,generalvikar,20,0.417
16,beschuldigten,19,0.396
17,b,18,0.375
18,homeyer,18,0.375
19,weiteren,17,0.354
20,n,17,0.354
21,wurden,16,0.334
22,dk,16,0.334
23,diakon,16,0.334
24,karin,15,0.313
25,mehr,15,0.313
26,dr,15,0.313
27,betroffenen,14,0.292
28,aschemann,14,0.292
29,beschuldigte,14,0.292
30,pfarrer,14,0.292
31,fall,14,0.292
32,folge,13,0.271
33,gemeinde,13,0.271
34,daraufhin,13,0.271
35,diözese,12,0.25
36,frau,12,0.25
37,zunächst,12,0.25
38,holst,11,0.229
39,priesters,11,0.229
40,pfarrei,11,0.229
41,2010,11,0.229
42,brief,11,0.229
43,kirchenrechtlichen,11,0.229
44,worden,11,0.229
45,michaeler,10,0.208
46,josef,10,0.208
47,ver-,10,0.208
48,später,10,0.208
49,versetzung,10,0.208
50,könne,10,0.208
51,sexualisierten,10,0.208
52,mutter,10,0.208
53,gegenüber,10,0.208
54,…,9,0.188
55,missbrauch,9,0.188
56,meldung,9,0.188
57,bozen-brixen,9,0.188
58,sexuellen,9,0.188
59,höfer,9,0.188
60,darüber,9,0.188
61,bekannt,9,0.188
62,»guter,8,0.167
63,köln,8,0.167
64,ten,8,0.167
65,informiert,8,0.167
66,vorwürfe,8,0.167
67,erst,8,0.167
68,seiten,8,0.167
69,herrn,8,0.167
70,hirt«,8,0.167
71,weiterer,8,0.167
72,übergriffe,8,0.167
73,notwendig,8,0.167
74,jesuiten,8,0.167
75,jedoch,8,0.167
76,ge-,8,0.167
77,geht,7,0.146
78,drei,7,0.146
79,zeit,7,0.146
80,be-,7,0.146
81,rahmen,7,0.146
82,heße,7,0.146
83,staatsanwaltschaft,7,0.146
84,u,7,0.146
85,kam,7,0.146
86,sowie,7,0.146
87,selben,7,0.146
88,d,7,0.146
89,dabei,7,0.146
90,interview,7,0.146
91,maßnahmen,7,0.146
92,gewalt,7,0.146
93,falles,7,0.146
94,lassen,7,0.146
95,gestellt,7,0.146
96,müssen,7,0.146
97,immer,7,0.146
98,aufgrund,7,0.146
99,damaligen,7,0.146
100,offenbar,7,0.146
101,art,7,0.146
102,hätte,7,0.146
103,erzbistum,7,0.146
104,rom,6,0.125
105,statt,6,0.125
106,behandlung,6,0.125
107,tätigkeit,6,0.125
108,schritte,6,0.125
109,dennoch,6,0.125
110,entschieden,6,0.125
111,schreiben,6,0.125
112,mädchen,6,0.125
113,großeltern,6,0.125
114,laut,6,0.125
115,genommen,6,0.125
116,seitens,6,0.125
117,geeignet,6,0.125
118,zeitpunkt,6,0.125
119,allein,6,0.125
120,darauf,6,0.125
121,exklaustration,6,0.125
122,protokoll,6,0.125
123,eingeleitet,6,0.125
124,hinweis,6,0.125
125,wegen,6,0.125
126,weise,6,0.125
127,domkapitular,6,0.125
128,gegeben,6,0.125
129,rede,6,0.125
130,keinerlei,6,0.125
131,sache,6,0.125
132,fr,6,0.125
133,canisiuskolleg,5,0.104
134,strafe,5,0.104
135,h,5,0.104
136,verantwortungsbereich,5,0.104
137,gesprächs,5,0.104
138,ebenso,5,0.104
139,angewiesen,5,0.104
140,jahr,5,0.104
141,fand,5,0.104
142,außer,5,0.104
143,nachdem,5,0.104
144,einschätzung,5,0.104
145,gemeinden,5,0.104
146,gemeldet,5,0.104
147,wobei,5,0.104
148,hinweise,5,0.104
149,eingesetzt,5,0.104
150,gargitter,5,0.104
151,hervor,5,0.104
152,ner,5,0.104
153,sagte,5,0.104
154,kontakt,5,0.104
155,vorwürfen,5,0.104
156,unterblieb,5,0.104
157,unternommen,5,0.104
158,erzbistums,5,0.104
159,acht,5,0.104
160,offizial,5,0.104
161,erhielt,5,0.104
162,wonach,5,0.104
163,konsequenzen,5,0.104
