,term,frequency,percentage
0,mehr,4,2.128
1,kinder,4,2.128
2,anton,4,2.128
3,eltern,3,1.596
4,mädchen,3,1.596
5,gegenüber,3,1.596
6,–,3,1.596
7,sexuellen,2,1.064
8,p.s,2,1.064
9,jugendlichen,2,1.064
10,mutter,2,1.064
11,möchte,2,1.064
12,nie,2,1.064
13,betroffenen,2,1.064
14,bleiben,2,1.064
15,gesagt,2,1.064
16,nachdem,2,1.064
17,frau,2,1.064
18,zufolge,2,1.064
19,p,2,1.064
20,innerhalb,2,1.064
21,pfarrer,1,0.532
22,wählen,1,0.532
23,geklagt,1,0.532
24,bücherei,1,0.532
25,hingehen,1,0.532
26,bewusst,1,0.532
27,seien,1,0.532
28,fertig,1,0.532
29,genauso,1,0.532
30,unternommen,1,0.532
31,wissen,1,0.532
32,bzw,1,0.532
33,wussten,1,0.532
34,annäherungen,1,0.532
35,lebensmitteln,1,0.532
36,kaputten,1,0.532
37,haus,1,0.532
38,leicht,1,0.532
39,viel-,1,0.532
40,verrückteste,1,0.532
41,d.s,1,0.532
42,meiden,1,0.532
43,terverbleib,1,0.532
44,wei-,1,0.532
45,tochter,1,0.532
46,14-jährige,1,0.532
47,gab,1,0.532
48,kehr,1,0.532
49,hildesheim,1,0.532
50,innerfamiliär,1,0.532
51,kommuniziert,1,0.532
52,nachgedacht,1,0.532
53,ie,1,0.532
54,grenzverletzungen,1,0.532
55,ausgehende,1,0.532
56,bedrohungspotenzial,1,0.532
57,jugendgruppe,1,0.532
58,setzen,1,0.532
59,aktiv,1,0.532
60,rück-,1,0.532
61,dennoch,1,0.532
62,spürbar,1,0.532
63,nahmen,1,0.532
64,abstand,1,0.532
65,informieren,1,0.532
66,»da,1,0.532
67,davon,1,0.532
68,darüber,1,0.532
69,te,1,0.532
70,verhaltens,1,0.532
71,verstehen«,1,0.532
72,gemeinde,1,0.532
73,widerstand,1,0.532
74,regte,1,0.532
75,unwissend,1,0.532
76,tragwei-,1,0.532
77,gewalt,1,0.532
78,sexualisierter,1,0.532
79,nen,1,0.532
80,betroffe-,1,0.532
81,anschließenden,1,0.532
82,darstellung,1,0.532
83,bischofs,1,0.532
84,mitarbeiterinnen,1,0.532
85,diakon,1,0.532
86,n,1,0.532
87,gespräch,1,0.532
88,sofortige,1,0.532
89,versetzung,1,0.532
90,bekannt,1,0.532
91,übergriffen,1,0.532
92,geschluckt,1,0.532
93,fall,1,0.532
94,andernfalls,1,0.532
95,gefordert,1,0.532
96,bringen,1,0.532
97,u,1,0.532
98,jahre,1,0.532
99,1997,1,0.532
100,strafanzeige,1,0.532
101,schuldig,1,0.532
102,fühlte,1,0.532
103,man-,1,0.532
104,gelnde,1,0.532
105,bereitschaft,1,0.532
106,täter,1,0.532
107,aussage,1,0.532
108,fr,1,0.532
109,wiederholen,1,0.532
110,karin,1,0.532
111,b,1,0.532
112,vorfall,1,0.532
113,berlin,1,0.532
114,2006,1,0.532
115,besuchen,1,0.532
116,zurückzieht,1,0.532
117,kaum,1,0.532
118,begrüßen,1,0.532
119,mag,1,0.532
120,großmutter,1,0.532
121,auffällt,1,0.532
122,vertraut,1,0.532
123,religionslehrerin,1,0.532
124,berichten,1,0.532
125,im-,1,0.532
126,mer,1,0.532
127,nein,1,0.532
128,übergriffe,1,0.532
129,gegeben,1,0.532
130,ablässt,1,0.532
131,entziehen,1,0.532
132,versucht,1,0.532
133,schützt,1,0.532
134,besu-,1,0.532
135,chen,1,0.532
136,darauf,1,0.532
137,achtet,1,0.532
138,alleine,1,0.532
139,möglichst,1,0.532
140,zimmer,1,0.532
141,berichtete,1,0.532
142,k,1,0.532
143,1989,1,0.532
144,beziehung,1,0.532
145,priester,1,0.532
146,schluss,1,0.532
147,dagegen,1,0.532
148,gewehrt,1,0.532
149,aufhören,1,0.532
150,müsse,1,0.532
151,kindern,1,0.532
152,wie­,1,0.532
153,derkehrenden,1,0.532
154,besucher,1,0.532
155,tun,1,0.532
156,wollten,1,0.532
