,term,frequency,percentage
0,anton,25,2.15
1,p,17,1.462
2,priester,16,1.376
3,mädchen,14,1.204
4,…,14,1.204
5,pfarrer,12,1.032
6,diakon,9,0.774
7,p.s,9,0.774
8,n,9,0.774
9,zeit,8,0.688
10,gemeinde,8,0.688
11,gegenüber,7,0.602
12,ge-,7,0.602
13,berichtet,7,0.602
14,jahre,7,0.602
15,zuständigen,7,0.602
16,michaeler,6,0.516
17,sei,6,0.516
18,frau,6,0.516
19,schreiben,6,0.516
20,homeyer,5,0.43
21,josef,5,0.43
22,daraufhin,5,0.43
23,großeltern,5,0.43
24,bischof,5,0.43
25,mutter,4,0.344
26,frauen,4,0.344
27,weiteren,4,0.344
28,gespräch,4,0.344
29,tätig,4,0.344
30,generalvi-,4,0.344
31,wissen,4,0.344
32,eltern,4,0.344
33,mitte,4,0.344
34,priesters,4,0.344
35,kar,4,0.344
36,b,4,0.344
37,damalige,4,0.344
38,dummheiten,3,0.258
39,erst,3,0.258
40,bekannt,3,0.258
41,wurde,3,0.258
42,mehr,3,0.258
43,darüber,3,0.258
44,beziehungen,3,0.258
45,zunächst,3,0.258
46,monate,3,0.258
47,spricht,3,0.258
48,geworden,3,0.258
49,offenbar,3,0.258
50,ordinariat,3,0.258
51,generalvikar,3,0.258
52,diözese,3,0.258
53,pfarrers,3,0.258
54,brief,3,0.258
55,entpflichtung,3,0.258
56,»guter,3,0.258
57,s,3,0.258
58,–,3,0.258
59,m,3,0.258
60,arbeit,3,0.258
61,sexuellen,3,0.258
62,versetzung,3,0.258
63,wurden,3,0.258
64,bürgermeister,3,0.258
65,„[…,3,0.258
66,damals,3,0.258
67,men,2,0.172
68,später,2,0.172
69,sache,2,0.172
70,widerstand,2,0.172
71,sehen,2,0.172
72,mehrere,2,0.172
73,…].“,2,0.172
74,beklagte,2,0.172
75,weit,2,0.172
76,erkennbaren,2,0.172
77,missbrauch,2,0.172
78,kin-,2,0.172
79,anlass,2,0.172
80,vermutlich,2,0.172
81,ten,2,0.172
82,empfänger,2,0.172
83,dern,2,0.172
84,wandte,2,0.172
85,mitgeteilt,2,0.172
86,erfahren,2,0.172
87,5,2,0.172
88,verhalten,2,0.172
89,-,2,0.172
90,sic,2,0.172
91,kinder,2,0.172
92,dabei,2,0.172
93,ansehen,2,0.172
94,aktiv,2,0.172
95,hannover,2,0.172
96,jungen,2,0.172
97,mal,2,0.172
98,seelsorger,2,0.172
99,unangemessenen,2,0.172
100,nie,2,0.172
101,anvertraute,2,0.172
102,kooperator,2,0.172
103,gepackt,2,0.172
104,ruhe,2,0.172
105,läßt,2,0.172
106,schlage,2,0.172
107,krankenhausreif…,2,0.172
108,besser,2,0.172
109,„nicht,2,0.172
110,beschwerte,2,0.172
111,dortige,2,0.172
112,pfarrgemeinde-,2,0.172
113,rat,2,0.172
114,besonders,2,0.172
115,1970er,2,0.172
116,intelligent,2,0.172
117,deshalb,2,0.172
118,„bei,2,0.172
119,vergnügungsveranstaltungen,2,0.172
120,sinnlos,2,0.172
121,beträchtliche,2,0.172
122,summen,2,0.172
123,geld,2,0.172
124,vergeude,2,0.172
125,kostspielige,2,0.172
126,getränke,2,0.172
127,hauptsächlich,2,0.172
128,‚jungen,2,0.172
129,damen‘,2,0.172
130,abstossender,2,0.172
131,aufdringlichkeit,2,0.172
132,pfarrei,2,0.172
133,bücherei,2,0.172
134,könne“,2,0.172
135,bozen-brixen,2,0.172
136,warnung,2,0.172
137,chen,2,0.172
138,heißt,2,0.172
139,vorfall,2,0.172
140,bereits,2,0.172
141,trient,2,0.172
142,folgender,2,0.172
143,hirt«,2,0.172
144,beschwerden,2,0.172
145,zwei,2,0.172
146,be-,2,0.172
147,e-mail,2,0.172
148,werner,2,0.172
149,bongartz,2,0.172
150,2.02.2010,2,0.172
151,/,2,0.172
152,hätten,2,0.172
153,setzt,2,0.172
154,mitgliedern,2,0.172
155,neue,2,0.172
156,befinden,2,0.172
157,u,2,0.172
158,mitglieder,2,0.172
159,opfer,2,0.172
160,sorgen,2,0.172
161,unternommen,2,0.172
162,2010,2,0.172
163,bistum,2,0.172
