,term,frequency,percentage
0,sexuellen,16,1.798
1,frauen,14,1.573
2,missbrauch,13,1.461
3,mädchen,11,1.236
4,priester,11,1.236
5,sexueller,10,1.124
6,übergriff,9,1.011
7,missbrauchs,9,1.011
8,sexuelle,8,0.899
9,übergriffe,7,0.787
10,gegenüber,7,0.787
11,sexuell,7,0.787
12,dabei,7,0.787
13,berührt,6,0.674
14,ge-,5,0.562
15,sexualisierter,5,0.562
16,kind,5,0.562
17,frau,5,0.562
18,sei,5,0.562
19,p,5,0.562
20,anton,5,0.562
21,pfarrer,5,0.562
22,auto,4,0.449
23,minderjährigen,4,0.449
24,gekommen,4,0.449
25,gewalt,4,0.449
26,unterricht,4,0.449
27,…,4,0.449
28,vorwürfe,4,0.449
29,sexualisierten,4,0.449
30,erwachsenen,3,0.337
31,rede,3,0.337
32,wegen,3,0.337
33,sexualisierte,3,0.337
34,jahre,3,0.337
35,beziehungen,3,0.337
36,priesters,3,0.337
37,intime,3,0.337
38,n,3,0.337
39,darüber,3,0.337
40,grenzverletzungen,3,0.337
41,welt,3,0.337
42,verfehlungen,3,0.337
43,verhalten,3,0.337
44,mund,3,0.337
45,missbraucht,3,0.337
46,haus,3,0.337
47,sexuellem,3,0.337
48,brüste,3,0.337
49,kostspielige,2,0.225
50,wochenbett,2,0.225
51,verkehr,2,0.225
52,zwangen,2,0.225
53,getränke,2,0.225
54,hauptsächlich,2,0.225
55,‚jungen,2,0.225
56,damen‘,2,0.225
57,abstossender,2,0.225
58,kinder,2,0.225
59,aufdringlichkeit,2,0.225
60,1960er,2,0.225
61,weiblichen,2,0.225
62,außerdem,2,0.225
63,„unverschämt[en,2,0.225
64,ver-,2,0.225
65,halten[s]“,2,0.225
66,recht,2,0.225
67,handlungen,2,0.225
68,jedoch,2,0.225
69,ebenso,2,0.225
70,schwierigkeiten,2,0.225
71,kleidung,2,0.225
72,lang,2,0.225
73,se-,2,0.225
74,zimmer,2,0.225
75,hause,2,0.225
76,ten,2,0.225
77,küssen,2,0.225
78,sic,2,0.225
79,versucht,2,0.225
80,tochter,2,0.225
81,männer,2,0.225
82,könne,2,0.225
83,zurecht-,2,0.225
84,hand,2,0.225
85,immer,2,0.225
86,gemacht,2,0.225
87,klar,2,0.225
88,xuellen,2,0.225
89,übergriffig,2,0.225
90,e,2,0.225
91,situationen,2,0.225
92,pflicht,2,0.225
93,hinzuweisen,2,0.225
94,kam,2,0.225
95,worden,2,0.225
96,missbrauchsvorwürfe,2,0.225
97,schulmädchen,2,0.225
98,händen,2,0.225
99,zufolge,2,0.225
100,nahe,2,0.225
101,schoß,2,0.225
102,brust,2,0.225
103,halt,2,0.225
104,umarmungen,2,0.225
105,berührungen,2,0.225
106,bezug,2,0.225
107,sechste,2,0.225
108,gebot,2,0.225
109,diktierte,2,0.225
110,fragen,2,0.225
111,berücksichtigen,2,0.225
112,wobei,2,0.225
113,»peinliche,2,0.225
114,umarmt,2,0.225
115,dinge,2,0.225
116,handelte«,2,0.225
117,–,2,0.225
118,finanzgebaren,2,0.225
119,knien,2,0.225
120,machte,2,0.225
121,angaben,2,0.225
122,jungen,2,0.225
123,kontakte,2,0.225
124,jahren,2,0.225
125,diakon,2,0.225
126,griffen,2,0.225
127,geküsst,2,0.225
128,anschaffungen,2,0.225
129,jahr,2,0.225
130,vergnügungsveranstaltungen,2,0.225
131,wurden,2,0.225
132,sinnlos,2,0.225
133,zunge,2,0.225
134,miss-,2,0.225
135,brauch,2,0.225
136,beträchtliche,2,0.225
137,summen,2,0.225
138,geld,2,0.225
139,fälle,2,0.225
140,vergeude,2,0.225
141,spiritueller,2,0.225
142,erwartete,2,0.225
143,kürzlich,1,0.112
144,rabenstein,1,0.112
145,zivil,1,0.112
146,sehen,1,0.112
147,„zuwenig,1,0.112
148,abstand“,1,0.112
149,halte,1,0.112
150,genüber,1,0.112
151,„weiblichen,1,0.112
152,jugend,1,0.112
153,wenig,1,0.112
154,zurückhaltend“,1,0.112
155,aufzwinge].“,1,0.112
156,mitte,1,0.112
157,1980er,1,0.112
158,fiel,1,0.112
159,erneut,1,0.112
160,nachdem,1,0.112
161,behandlung,1,0.112
162,gegeben,1,0.112
163,völlig,1,0.112
164,unkontrolliert,1,0.112
165,weniger,1,0.112
166,ta-,1,0.112
167,worten,1,0.112
168,witzen,1,0.112
169,usw,1,0.112
170,aufgrund,1,0.112
171,anhal-,1,0.112
172,tender,1,0.112
173,art,1,0.112
174,handelte,1,0.112
175,lässt,1,0.112
176,akte,1,0.112
177,entnehmen,1,0.112
178,vergangen,1,0.112
179,fortiter,1,0.112
180,tan-,1,0.112
181,gendo,1,0.112
182,eius,1,0.112
183,pudendu,1,0.112
184,super,1,0.112
185,vestem,1,0.112
186,schola,1,0.112
187,anm,1,0.112
188,be-,1,0.112
189,richterstatter,1,0.112
190,berührte,1,0.112
191,kräftig,1,0.112
192,schamgegend,1,0.112
193,schule,1,0.112
194,thematisierung,1,0.112
195,sexualität,1,0.112
196,besorgniserregend,1,0.112
197,gesehen,1,0.112
198,braut,1,0.112
199,gasthaus,1,0.112
200,öffentlich,1,0.112
201,bluse,1,0.112
202,gegriffen,1,0.112
203,gesagt,1,0.112
204,schöne,1,0.112
205,welt…,1,0.112
206,nichte,1,0.112
207,bücherei,1,0.112
208,mehrmals,1,0.112
209,abge-,1,0.112
210,greift,1,0.112
211,überall,1,0.112
212,missbräuchlicher,1,0.112
213,absicht,1,0.112
214,genähert,1,0.112
215,re-,1,0.112
216,gelmäßig,1,0.112
217,oberschule,1,0.112
218,abzuholen,1,0.112
219,fahren,1,0.112
220,vergewaltigen,1,0.112
221,genommen,1,0.112
222,geschlechtsteile,1,0.112
223,langen,1,0.112
224,mitgenommen,1,0.112
225,weise,1,0.112
226,rahmen,1,0.112
227,ferienlagers,1,0.112
228,ministrantin,1,0.112
229,bett,1,0.112
230,legen,1,0.112
231,kenntnis,1,0.112
232,davon,1,0.112
233,religions-,1,0.112
234,15jährigen,1,0.112
235,andeutungen,1,0.112
236,belästigendes,1,0.112
237,verhal-,1,0.112
238,volljährigen,1,0.112
239,wie-,1,0.112
240,gestern,1,0.112
241,krankenpflegeschülerin,1,0.112
242,angerufen,1,0.112
243,möge,1,0.112
244,kommen,1,0.112
245,fernseh,1,0.112
246,schauen,1,0.112
247,balkon,1,0.112
248,kleines,1,0.112
249,gummischwimmbad,1,0.112
250,aufge-,1,0.112
251,stellt,1,0.112
252,schwimmen,1,0.112
253,beabsichtigt,1,0.112
254,15jähriges,1,0.112
255,zwungen,1,0.112
256,hielt,1,0.112
257,anfang,1,0.112
258,„zu,1,0.112
259,auf“,1,0.112
260,fastenandacht,1,0.112
261,stundenlang,1,0.112
262,größeren,1,0.112
263,widum,1,0.112
264,aufgehalten,1,0.112
265,heimgehen,1,0.112
266,lassen,1,0.112
267,verhältnisses,1,0.112
268,16,1,0.112
269,jährigen,1,0.112
270,umgang,1,0.112
271,„hang,1,0.112
272,geschlecht,1,0.112
273,einfach,1,0.112
274,verbergen“,1,0.112
275,missbrauchshandlungen,1,0.112
276,11-,1,0.112
277,12jäh-,1,0.112
278,rigen,1,0.112
279,erlittenen,1,0.112
280,schulzeit,1,0.112
281,minderjährige,1,0.112
282,gefahren,1,0.112
283,geschlechtstei-,1,0.112
284,len,1,0.112
285,sexu-,1,0.112
286,ellen,1,0.112
287,unangemessenen,1,0.112
288,kontakt,1,0.112
289,aufzwänge].“,1,0.112
290,14-,1,0.112
291,ie,1,0.112
292,xuell,1,0.112
293,männern,1,0.112
294,u,1,0.112
295,nachts,1,0.112
296,gerne,1,0.112
297,flirtete,1,0.112
298,flirty,1,0.112
299,d,1,0.112
300,mehrere,1,0.112
301,folgte,1,0.112
302,forcierte,1,0.112
303,denen,1,0.112
304,kindern,1,0.112
305,1970er,1,0.112
306,entblößte,1,0.112
307,allein,1,0.112
308,morgens,1,0.112
309,nackt,1,0.112
310,rollläden,1,0.112
311,wohnzimmer,1,0.112
312,öffnen,1,0.112
313,uhrzeit,1,0.112
314,schulkinder,1,0.112
315,vorbeilaufen,1,0.112
316,exhibitionismus,1,0.112
317,gedeutet,1,0.112
318,„öffentliche,1,0.112
319,männerbündischen,1,0.112
320,atmosphären,1,0.112
321,anfällig,1,0.112
322,verharmlosung,1,0.112
323,sexismus,1,0.112
324,frauenfeindlichkeit,1,0.112
325,sublimes,1,0.112
326,„rauschen“,1,0.112
327,übergriffigkeit,1,0.112
328,seminaren,1,0.112
329,wahrgenommen,1,0.112
330,wer-,1,0.112
331,sprache,1,0.112
332,geschützten,1,0.112
333,soziotop,1,0.112
334,männerbundes,1,0.112
335,besonders,1,0.112
336,frauenfeindlich,1,0.112
337,frauenverachtend,1,0.112
338,manifestieren,1,0.112
339,gewaltformen,1,0.112
340,aussegnung“,1,0.112
341,sexistischer,1,0.112
342,abwertungen,1,0.112
343,verüben,1,0.112
344,„bubenstreichen“,1,0.112
345,missbrauchstäter,1,0.112
346,heimatpfarrei,1,0.112
347,historikern,1,0.112
348,mussten,1,0.112
349,hinten,1,0.112
350,beiden,1,0.112
351,unrein,1,0.112
352,kirchentür,1,0.112
353,fasste,1,0.112
354,warten,1,0.112
355,gekommen«,1,0.112
356,»grabbel-problem«,1,0.112
357,grabbelproblem,1,0.112
358,betastet,1,0.112
359,hoch-,1,0.112
