,term,frequency,percentage
0,sexuellen,16,1.907
1,missbrauch,16,1.907
2,frauen,10,1.192
3,beziehungen,10,1.192
4,sexueller,10,1.192
5,übergriff,9,1.073
6,übergriffe,8,0.954
7,sexualisierter,7,0.834
8,–,7,0.834
9,sei,7,0.834
10,missbrauchs,7,0.834
11,priester,7,0.834
12,gewalt,6,0.715
13,…,6,0.715
14,erwachsenen,6,0.715
15,verhältnis,5,0.596
16,mädchen,5,0.596
17,sexuell,5,0.596
18,gegenüber,5,0.596
19,frau,5,0.596
20,recht,5,0.596
21,sexuelle,5,0.596
22,priesters,4,0.477
23,ver-,4,0.477
24,2,4,0.477
25,cic,4,0.477
26,§,4,0.477
27,vorwürfe,4,0.477
28,folge,4,0.477
29,can,4,0.477
30,müssen,4,0.477
31,jahre,4,0.477
32,beziehung,4,0.477
33,verhalten,4,0.477
34,1395,3,0.358
35,se-,3,0.358
36,wegen,3,0.358
37,dummheiten,3,0.358
38,zölibatsverstoß,3,0.358
39,jungen,3,0.358
40,männern,3,0.358
41,wohnung,2,0.238
42,junge,2,0.238
43,halten,2,0.238
44,chen,2,0.238
45,kannte,2,0.238
46,scandalum,2,0.238
47,art,2,0.238
48,sünde,2,0.238
49,6,2,0.238
50,gebot«,2,0.238
51,sexualisierten,2,0.238
52,erneut,2,0.238
53,kontrollverlustes,2,0.238
54,deutige,2,0.238
55,halten[s]“,2,0.238
56,„gefahr,2,0.238
57,beruf“,2,0.238
58,aufgrund,2,0.238
59,intelligenzminderung,2,0.238
60,missbrauchsvorwürfe,2,0.238
61,verfehlungen,2,0.238
62,rede,2,0.238
63,sodass,2,0.238
64,strafe,2,0.238
65,ge-,2,0.238
66,besonders,2,0.238
67,tatbestand,2,0.238
68,sexualisierte,2,0.238
69,haus,2,0.238
70,unangemessenen,2,0.238
71,kontakt,2,0.238
72,xuellen,2,0.238
73,umgang,2,0.238
74,übergriffig,2,0.238
75,minderjährige,2,0.238
76,hätten,2,0.238
77,kirchenrechtliche,2,0.238
78,wobei,2,0.238
79,„nicht,2,0.238
80,rechtlich,2,0.238
81,gebot,2,0.238
82,hildesheim,2,0.238
83,1997,2,0.238
84,anton,2,0.238
85,hinweis,2,0.238
86,akt,2,0.238
87,seien,2,0.238
88,miss-,2,0.238
89,brauch,2,0.238
90,ganz,2,0.238
91,missbrauchsbeziehung,2,0.238
92,ansehen,2,0.238
93,wann,2,0.238
94,sache,2,0.238
95,beschuldigten,2,0.238
96,wurde,2,0.238
97,anschein,2,0.238
98,liegt,2,0.238
99,mißbrauch,2,0.238
100,jedenfalls,2,0.238
101,deutlich,2,0.238
102,sexuellem,2,0.238
103,begriff,2,0.238
104,völlig,2,0.238
105,anderweitig,2,0.238
106,problematisches,2,0.238
107,schweren,2,0.238
108,spiritueller,2,0.238
109,fiel,1,0.119
