,term,frequency,percentage
0,fälle,12,3.409
1,%,7,1.989
2,erwachsene,6,1.705
3,gemeinschaften,6,1.705
4,sexuellen,5,1.42
5,missbrauch,5,1.42
6,missbrauchs,5,1.42
7,kirche,4,1.136
8,wurden,4,1.136
9,orden,4,1.136
10,betroffene,4,1.136
11,personen,3,0.852
12,person,3,0.852
13,missbräuche,3,0.852
14,minderjährige,3,0.852
15,ähnlichen,3,0.852
16,bislang,3,0.852
17,frauengemeinschaften,3,0.852
18,–,3,0.852
19,sexuelle,3,0.852
20,beschuldigten,3,0.852
21,quellen,2,0.568
22,sexuellem,2,0.568
23,forschung,2,0.568
24,begriff,2,0.568
25,betraf,2,0.568
26,siebte,2,0.568
27,allerdings,2,0.568
28,frauen,2,0.568
29,gegenüber,2,0.568
30,erwachsenen,2,0.568
31,fall,2,0.568
32,mindestens,2,0.568
33,feststellbar,2,0.568
34,eindeutig,2,0.568
35,konnten,2,0.568
36,knapp,2,0.568
37,umfeld,2,0.568
38,ordens­,2,0.568
39,katholischen,2,0.568
40,sowohl,2,0.568
41,deren,2,0.568
42,erforschung,2,0.568
43,deutlich,2,0.568
44,besonders,2,0.568
45,deshalb,2,0.568
46,liche,2,0.568
47,öf­,2,0.568
48,zahlen,2,0.568
49,insgesamt,2,0.568
50,identifiziert,2,0.568
51,zwei,2,0.568
52,mehr,2,0.568
53,921,2,0.568
54,510,2,0.568
55,vorpubertären,1,0.284
56,lingen,1,0.284
57,säug­,1,0.284
58,vertreten,1,0.284
59,altersspektrum,1,0.284
60,gesamte,1,0.284
61,wobei,1,0.284
62,gen,1,0.284
63,minderjähri­,1,0.284
64,74,1,0.284
65,zeugten,1,0.284
66,ausgewertet,1,0.284
67,akten,1,0.284
68,pilotprojektes,1,0.284
69,männer.6,1,0.284
70,ausnahmen,1,0.284
71,ganz,1,0.284
72,allgemein,1,0.284
73,«sexuellen,1,0.284
74,missbrauchs»,1,0.284
75,de­,1,0.284
76,finiert,1,0.284
77,taten,1,0.284
78,jungen,1,0.284
79,betrafen,1,0.284
80,14,1,0.284
81,nen,1,0.284
82,erwachse­,1,0.284
83,postpubertären,1,0.284
84,12,1,0.284
85,alter,1,0.284
86,kindern,1,0.284
87,genden,1,0.284
88,vorlie­,1,0.284
89,hierbei,1,0.284
90,zentral,1,0.284
91,verletzen,1,0.284
92,menschen,1,0.284
93,recht,1,0.284
94,selbstbestimmungs­,1,0.284
95,umfasst,1,0.284
96,beschränkt,1,0.284
97,«vertrauliche,1,0.284
98,fälle»,1,0.284
99,boxen,1,0.284
100,angewandt,1,0.284
101,wenige,1,0.284
102,weiblichen,1,0.284
103,39,1,0.284
104,weisbar,1,0.284
105,nach­,1,0.284
106,361,1,0.284
107,schuldigten,1,0.284
108,be­,1,0.284
109,149,1,0.284
110,geschlechts,1,0.284
111,5,1,0.284
112,männlich,1,0.284
113,56,1,0.284
114,geschlecht,1,0.284
115,grund,1,0.284
116,auf­,1,0.284
117,zugeordnet,1,0.284
118,beschuldigte,1,0.284
119,feld,1,0.284
120,weiteres,1,0.284
121,internationale,1,0.284
122,deutet,1,0.284
123,dokumentieren,1,0.284
124,schliesslich,1,0.284
125,männern,1,0.284
126,beziehungen,1,0.284
127,augen,1,0.284
128,verhalten,1,0.284
129,problematisches,1,0.284
130,anderweitig,1,0.284
131,mehrere,1,0.284
132,enthalten,1,0.284
133,dossiers,1,0.284
134,dutzend,1,0.284
135,übergriffe,1,0.284
136,untersuchung,1,0.284
137,bedarf,1,0.284
138,unterrepräsentiert,1,0.284
139,beachtung,1,0.284
140,ähnliche,1,0.284
141,debatte,1,0.284
142,fentlichen,1,0.284
143,neue,1,0.284
144,geist­,1,0.284
145,provisorischen,1,0.284
146,präsentierten,1,0.284
147,auftraten,1,0.284
148,blieb,1,0.284
149,sowie,1,0.284
150,besonderer,1,0.284
151,berücksichtigt,1,0.284
152,wenig,1,0.284
153,blieben,1,0.284
154,nerhalb,1,0.284
155,in­,1,0.284
156,bewegungen.180,1,0.284
157,überwiegend,1,0.284
158,raum,1,0.284
159,betroffen,1,0.284
160,insbesondere,1,0.284
161,treten,1,0.284
162,spezifische,1,0.284
163,begünstigen,1,0.284
164,machtkonstellationen,1,0.284
165,männ­,1,0.284
166,fokussierte,1,0.284
167,herausforde­,1,0.284
168,besondere,1,0.284
169,vorhandenen,1,0.284
170,rungen,1,0.284
171,bereich,1,0.284
172,viele,1,0.284
173,lücken,1,0.284
174,stellen,1,0.284
175,aufweisen,1,0.284
176,betrachtung,1,0.284
177,2,1,0.284
178,ausgewerteten,1,0.284
179,fanden,1,0.284
180,innerhalb,1,0.284
181,verlauf,1,0.284
182,untersuchungsperiode,1,0.284
183,statt,1,0.284
184,religiösen,1,0.284
185,untersuchten,1,0.284
186,beauftragten,1,0.284
187,wovon,1,0.284
188,15,1,0.284
189,strafrechtlich,1,0.284
190,juristen,1,0.284
191,relevant,1,0.284
192,vierzig,1,0.284
193,betroffenen,1,0.284
194,weitere,1,0.284
195,probleme,1,0.284
196,offensicht­,1,0.284
197,lich,1,0.284
198,24,1,0.284
199,angelegenheit,1,0.284
200,betrifft,1,0.284
201,verorten,1,0.284
202,vorwie­,1,0.284
203,gend,1,0.284
204,männergemeinschaften,1,0.284
205,weltlichen,1,0.284
206,priestern,1,0.284
207,an­,1,0.284
208,besitzen,1,0.284
209,fällen,1,0.284
210,ausführliche,1,0.284
211,tradition,1,0.284
212,schriftlichkeit,1,0.284
213,spärliche,1,0.284
214,erachten,1,0.284
215,ar­,1,0.284
216,chivbestände,1,0.284
217,einzig,1,0.284
218,hinzugezogen,1,0.284
219,sollizitation281,1,0.284
220,spiritual,1,0.284
221,mitglied,1,0.284
222,konsultierten,1,0.284
223,archiven,1,0.284
224,dokumentiert,1,0.284
225,beson­,1,0.284
226,ders,1,0.284
227,schweren,1,0.284
228,verstoss,1,0.284
229,katholische,1,0.284
230,kirchenrecht,1,0.284
231,darstellen.282,1,0.284
232,trotz,1,0.284
233,schwierigkeiten,1,0.284
234,untersuchen,1,0.284
235,grundsätzliches,1,0.284
236,forschungspotential,1,0.284
237,vorhanden,1,0.284
238,rahmen,1,0.284
239,pilotprojekts,1,0.284
240,1’002,1,0.284
241,seit,1,0.284
242,1950,1,0.284
243,betrof­,1,0.284
244,fenen,1,0.284
245,fentlich,1,0.284
246,kommuniziert,1,0.284
